Band,Lyrics,Song
Orelsan,"Aujourd'hui sera le dernier jour de mon existence
La dernière fois que je ferme les yeux
Mon dernier silence
J'ai longtemps cherché la solution à ces nuisances
Ça m’apparaît maintenant comme une évidence
Fini d'être une photocopie
Finies la monotonie, la lobotomie
Aujourd'hui je mettrai ni ma chemise ni ma cravate
J'irai pas jusqu'au travail, je donnerai pas la patte
Adieu les employés de bureau et leurs vies bien rangées
Si tu pouvais rater la tienne, ça les arrangerait
Ça prendrait un peu de place dans leurs cerveaux étriqués
Ça les conforterait dans leur médiocrité
Adieu les représentants grassouillets
Qui boivent jamais d'eau comme s'ils ne voulaient pas se mouiller
Les commerciaux qui sentent l'after-shave et le cassoulet
Mets de la mayonnaise sur leur mallette, ils se la boufferaient
Adieu, adieu les vieux comptables séniles
Adieu les secrétaires débiles et leurs discussions stériles
Adieu les jeunes cadres fraîchement diplômés
Qu'empileraient les cadavres pour arriver jusqu'au sommet
Adieu tous ces grands PDG
Essaie d'ouvrir ton parachute doré quand tu te fais défenestrer
Ils font leur beurre sur des salariés désespérés
Et jouent les vierges effarouchées quand ils se font séquestrer
Tous ces fils de quelqu'un
Ces fils d'une pute snob
Qui partagent les trois quarts des richesses du globe
Adieu les petits patrons
Ces beaufs embourgeoisés
Qui grattent des RTT pour payer leurs vacances d'été
Adieu les ouvriers, ces produits périmés
C'est la loi du marché, mon pote, t'es bon qu'à te faire virer
Ça t'empêchera d'engraisser ta gamine affreuse
Qui se fera sauter par un pompier, qui va finir coiffeuse
Adieu la campagne et ses familles crasseuses
Proches du porc au point d'attraper la fièvre aphteuse
Toutes ces vieilles, ces commères qui se bouffent entre elles
Ces vieux radins et leurs économies de bouts de chandelles
Adieu cette France profonde
Profondément stupide, cupide, inutile, putride
C'est fini, vous êtes en retard d'un siècle
Plus personne n'a besoin de vos bandes d’incestes
Adieu tous ces gens prétentieux dans la capitale
Qui essaient de prouver qu'ils valent mieux que toi chaque fois qu'ils te parlent
Tous ces connards dans la pub, dans la finance
Dans la com', dans la télé, dans la musique, dans la mode
Ces Parisiens, jamais contents, médisants
Faussement cultivés, à peine intelligents
Ces répliquant qui pensent avoir le monopole du bon goût
Qui regardent la province d'un œil méprisant
Adieu les sudistes abrutis par leur soleil cuisant
Leur seul but dans la vie c'est la troisième mi-temps
Accueillants, soi-disant
Ils te baisent avec le sourire
Tu peux le voir à leur façon de conduire
Adieu ces nouveaux fascistes
Qui justifient leurs vies de merde par des idéaux racistes
Devenu néo-nazis parce que t'avais aucune passion
Au lieu de jouer les SS, trouve une occupation
Adieu les piranhas dans leur banlieue
Qui voient pas plus loin que le bout de leur haine au point qu'ils se bouffent entre eux
Qui deviennent agressifs une fois qu'ils sont à 12
Seuls ils lèveraient pas le petit doigt dans un combat de pouce
Adieu les jeunes moyens, les pires de tous
Ces baltringues supportent pas la moindre petite secousse
Adieu les fils de bourges
Qui possèdent tout mais ne savent pas quoi en faire
Donne leur l'Eden ils t'en font un Enfer
Adieu tous ces profs dépressifs
T'as raté ta propre vie, comment tu comptes élever mes fils?
Adieu les grévistes et leur CGT
Qui passent moins de temps à chercher des solutions que des slogans pétés
Qui fouettent la défaite du survêt' au visage
Transforment n'importe quelle manif' en fête au village
Adieu les journalistes qui font dire ce qu'ils veulent aux images
Vendraient leur propre mère pour écouler quelques tirages
Adieu la ménagère devant son écran
Prête à gober la merde qu'on lui jette entre les dents
Qui pose pas de question tant qu'elle consomme
Qui s'étonne même plus de se faire cogner par son homme
Adieu, ces associations bien-pensantes
Ces dictateurs de la bonne conscience
Bien contents qu'on leur fasse du tort
C'est à celui qui condamnera le plus fort
Adieu lesbiennes refoulées, surexcitées
Qui cherchent dans leur féminité une raison d'exister
Adieu ceux qui vivent à travers leur sexualité
Danser sur des chariots, c'est ça votre fierté?
Les Bisounours et leur pouvoir de l'arc-en-ciel
Qui voudraient me faire croire qu'être hétéro c'est à l'ancienne
Tellement tellement susceptibles
Pour prouver que t'es pas homophobe faudra bientôt que tu suces des types
Adieu ma nation, tous ces incapables dans les administrations
Ces rois de l’inaction
Avec leur bâtiments qui donnent envie de vomir
Qui font exprès d'ouvrir à des heures où personne peut venir
Bêh, tous ces moutons pathétiques
Change une fonction dans leur logiciel, ils se mettent au chômage technique
Á peu près le même Q.I. que ces saletés de flics
Qui savent pas construire une phrase en dehors de leur sales répliques
Adieu les politiques, en parler serait perdre mon temps
Tout le système est complètement incompétent
Adieu les sectes, adieu les religieux
Ceux qui voudraient m'imposer des règles pour que je vive mieux
Adieu les poivrots qui rentrent jamais chez eux
Qui préfèrent se faire enculer par la Française des Jeux
Adieu les banquiers véreux
Le monde leur appartient
Adieu tous les pigeons qui leur mangent dans la main
Je comprends que j'ai rien à faire ici quand je branche la 1
Adieu la France de Joséphine Ange-Gardien
Adieu les hippies leur naïveté qui changera rien
Adieu les SM, libertins et tous ces gens malsains
Adieu ces pseudo-artistes engagés
Pleins de banalités démagogues dans la trachée
Écouter des chanteurs faire la morale ça me fait chier
Essaie d'écrire des bonnes paroles avant de la prêcher
Adieu les petits mongoles qui savent écrire qu'en abrégé
Adieu les sans papiers, les clochards, tous ces tas de déchets
Je les hais!
Les sportifs, les hooligans dans les stades
Les citadins, les bouseux dans leur étables
Les marginaux, les gens respectables
Les chômeurs, les emplois stables, les génies, les gens passables
De la plus grande crapule à la Médaille du Mérite
De la première dame au dernier trav' du pays!",Suicide Social
Orelsan,"Au fond j'crois qu'la terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout ce qu'on veut c'est être à la maison

T'as besoin d'une voiture pour aller travailler
Tu travailles pour rembourser la voiture que tu viens d'acheter
Tu vois ce genre de cercle vicieux,
Le genre de truc qui donne envie de tout faire sauf de mourir vieux

Tu peux courir à l'infini
Et à la poursuite du bonheur la terre est ronde autant l'attendre ici
J'suis pas feignant mais j'ai la flemme
Et ça va finir en arrêt maladie pour toute la semaine

J'veux profiter des gens que j'aime
J'veux prendre le temps avant qu'le temps me prenne et m'emmène
J'ai des centaines de trucs sur le feu
Mais je ferai juste ce que je veux quand même

Au fond j'crois qu'la terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout ce qu'on veut c'est être à la maison

Au fond j'crois qu'la terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout ce qu'on veut c'est être à la maison

Les rapeurs 'cains ils donnent les mêmes conseils que mes parents
Fais c'que tu veux dans ta vie mais surtout fais de l'argent
J'essaye de trouver l'équilibre
A quoi ça sert de préparer l'avenir si t'oublies d'vivre?

En caleçon qui m'sert de pyjama
Au lieu de lécher mon patron pour une avance qu'il m'filera pas
Ce soir j'rameuterai l'équipe
En attendant merci d'appeler mais s'il te plaît parle après l'bip

Aujourd'hui j'me sens bien
J'voudrais pas tout gâcher j'vais tout remettre au lendemain
Y'a vraiment rien dont j'ai vraiment besoin
On verra bien si j'me perd en chemin

Au fond j'crois qu'la terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout ce qu'on veut c'est être à la maison

Au fond j'crois qu'la terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout ce qu'on veut c'est être à la maison

Pourquoi faire tout d'suite tout ce qu'on peut faire plus tard?
Tout ce qu'on veut c'est profiter de l'instant
On s'épanouit dans la lumière du soir
Tout ce qu'on veut c'est pouvoir vivre maintenant
Pourquoi faire tout d'suite tout ce qu'on peut faire plus tard?
Tout ce qu'on veut c'est profiter de l'instant
On s'épanouit dans la lumière du soir
Tout ce qu'on veut c'est pouvoir vivre maintenant

Au fond j'crois qu'la terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout ce qu'on veut c'est être à la maison

Au fond j'crois qu'la terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout ce qu'on veut c'est être à la maison

Au fond j'crois qu'la terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout ce qu'on veut c'est être à la maison",La  Terre Est Ronde
Orenda Fink,"Where are the ones who lived before?
They are the cold winds in the north
Where are the ones who teach us how?
In sweet magnolias in the south
How do you hear the elders speak?
In the rains across the east
And what about the spirits' breath?
Their sigh, a dust storm in the west

Who are you?
I am an animal

Where are the ones who lived before?
They are the cold winds in the north
Where are the ones who teach us how?
In sweet magnolias in the south
How do you hear the elders speak?
In the rains across the east
And what about the spirits' breath?
Their sigh, a dust storm in the west

Who are you?
I am a man with will

Where are you?
I came from the hill

Where are the ones who lived before?
They are the cold winds in the north
Where are the ones who teach us how?
In sweet magnolias in the south
How do you hear the elders speak?
In the rains across the east
And what about the spirits' breath?
Their sigh, a dust storm in the west

Who are you?
I am the invisible
",Animal
Orenda Fink," I am happy every hour of the day
Every hour that I stay
In this lighthouse
Where the doors don't open
I'll forget what I had once been
Only hours before

I am happy every hour of each day
Every hour that I remain
In this blind asylum
Where it can't be seen
What I had once been
Only hours before

A demon was all they'd seen in me
In the morning I'll close my eyes
And leave
Bu tonight, I am happy
",Blind Asylum
Orenda Fink,"Trace your bloodline
They'll take care of you
They're still your family
No matter what they've done to you

And the cold air stings my eyes
As I take his hand, he says,
""Just let your body do the rest""

Slave plantations
Got a lot of grass
It was my own temptation
But I made a lot of cash

And the cold air stings my eyes
As I take his hand, he says,
""Just let your body do the rest""

And the church bells ring 
One million miles away from here 
Where nobody ever rests

It's all over now
It's in my soul
There's no way out
If I catch you breathing

And the cold air stings my eyes
As I take his hand, he says,
""Just let your body do the rest""
""Just let your body do the rest""
""Just let your body do the rest""",Bloodline
Orenda Fink,"In a flatbed, in a trailer
You are royalty there
Among kings and their jailers
You speak the truth with your open mouth
Oh, to be a boy
In the dirty south

In the rec room
When the rains came
She opened her arms to you
You tried to love her, well,
You only ended up in jail
The dirty south
Is your living hell

A tree, you stand there
While they sharpen their blades
To cut you down

Beautiful things can come from
The dark I once said and I
Hoped that you would believe and
Rise up from the ashes, but now
You've been beaten down
By the dirty south
So, let's give a crown
A gold, shining crown
To the dirty south

To be a boy
In the dirty south",Dirty South
Orenda Fink,"Those were shards of glass that cut your foot
From the dishes you smashed, I knew you would
Standing there helpless, like a child
The fight's over, and you won
But against who? There's no one there now
But me and you
I put you to bed
And close the door, but there's still war
On Easter Island

The demons they hover
Your father, mother
The things they did to you
Like no other
Over the years, have been forgotten
But not in your heart and
It's still fighting
On Easter Island

High low, high low
I'll search that stretch
Come back home
From Easter Island
Come back home
From Easter Island
",Easter Island
Orenda Fink,"Something's happened, now you're far away
You had to leave, no time to explain
I called Brother said, ""Mother's gone
The red bird came and took her off.
I asked, ""Will she be in heaven above
All over my shoulder like a carrier dove?"" 

He said, ""One, two, three, four-
There ain't no devil, there ain't no Lord.
Five, six, seven, eight-
Only love, only hate.""

I went to preacher to seek the truth
The wisest man that I knew -
The preacher had fallen, his collar torn
He slept with the bottle, his face unshorn
He looked at me with bloodshot eyes
A beaten man can tell no lies- 

He said, ""Prophets, pimps, angels, whores
There ain't no devil, there ain't no Lord.
Money grows to fill the preacher's bank
He saves your soul for himself to take.""

I travelled the world to understand
The words he spoke were no man's
I came to an island of beauty and pain
Shimmering souls, untamed
And now children, talking bright
Sing to me in the night-

They sing, ""One, two, three, four,
There ain't no devil, there ain't no lord.
Five, six, seven, eight,
Invisible ones guard the gate.
Invisible ones guard the gate.""",Invisible Ones Guard the Gate
Orenda Fink,"I make it each day
With the help of the good lord
But late night
I comb the streets
Looking for a way to feed

Hell came in the way
Of a war and a child
They never returned
He never returned

We raise our hands and pray
Les invisibles
We hold our heads in shame
Les invisibles

And as my weathered hands 
Cracked and colored
With years of pain
Of the broken hearted
Frame their plates
Of white and gold
You take no note of your warm presenter
Would you like to know what I've done for dinner
And why I've outlived my boy?

Justice serve it to you
You've waged this war
The rich wage wars
The rich take more

We raise our hands and pray
Les invisibles
We hold our heads in shame
Les invisibles

We raise our hands and pray
Les invisibles
We hold our heads in shame
Les invisibles

We raise our hands and pray
Les invisibles
We hold our heads in shame
Les invisibles",Les Invisibles
Orenda Fink,"On a bridge by the mill
I laid down my life
I opened my arms 
Embraced the night
And with no wings to fly 
I fell
I leave it all 
I leave it all

The things that I said 
I'd take them back if I could
The god to whom I prayed, 
Played a trick on me good
Now I see his face, it's just as well
I leave it all, I leave it all
I leave it all

Vanishing into the night
I leave it all
I leave it all
I leave it all
I leave it all",Leave It All
