Band,Lyrics,Song
The Melismatics,"Suffocation, oxygen, DOA, born again 
Anesthetics numb the pain, new beginnings start again 
Pick myself up off the floor, and find the strength I had before 
I am digging deep 

Television, tunnel vision, execution and exhibition 
Narcissism, indecision, desperation, lack of vision 
Take the pleasure with the pain, find the strength to rise again 
We are digging deep 

Always hanging on, in the twilight sleep, never giving up, forever digging deep 

Poison air, breathe it in, let it bleed, heal the skin, desecration, revelation, medication kicking in 
What we're feeling will transcend the situations we are in 
We are digging deep 

Gentle leader, violent leader, expectations, limitations, killing time until I die 
I saw the future in your eyes, I know why you won't sleep tonight, I've seen you in a different light 
You are digging deep 

Always hanging on, in the twilight sleep, never giving up, forever digging deep 

Poison air, breathe it in, let it bleed, heal the skin, desecration, revelation, medication kicking in 
What we're feeling will transcend, situations we are in 
We are digging deep 

Always hanging on, in the twilight sleep, never giving up, forever digging deep 
Always 
Always",Digging Deep
The Melodians,"I could feel these trills walking over
When you held me tight
Now I feel those pain taking over
When you said goodnight

Oh, what sweet sensation
Lord, what strange emotion
You got love and devotion
And I won't forget your touch

Now there's nothing left for me to say, girl
Than stay in your world
You got someone's soul deep inside, girl
And love that's richer than gold

Oh, what sweet sensation
Lord, what strange emotion
You got love and devotion
And I won't forget your touch",Sweet Sensation
The Melodians,"Hey girl, don't ask me for it's a long time now I've seen ya
Hey girl, don't ask me for it was love I gave ya

Let love begin my darling, let's start from beginning
I know you know how I love you more

For it was love I gave you, I gave you all
It was love I gave you, I gave you all

From the bottom of my lonely heart
It was love from the start I know
I know I gave you my heart to hold
Or in the winter when it was so cold, yeah

For it was love I gave you, I gave you all
It was love I gave you, I gave you all girl

From the bottom of my lonely heart
It was love from the start I know
I know I gave you my heart to hold
Or in the winter when it was so cold, yeah

For it was love I gave you, I gave you all
It was love I gave you, I gave you all
It was love I gave you, I gave you all
","Hey, Girl"
The Melodians,"I can't believe you want to leave so soon 
The party's just begun, don't go away-ay 
The music is sweet for your dancing pleasure 
Hmm ! Baby, have-no-mea-sure 
Swing & dine & dance for your money 
Swing & dine & dance for your money 


Hey, Mr DJ, play this song for me, 
Hey, Mr DJ, play this song for me, 
The music has got me, rocking my soul, 
Oh Lord I pray I'll never grow old 
Swing & dine & dance for your money 
Swing & dine & dance for your money 


Hey, Mr DJ, play this song for me, 
Hey, Mr DJ, play this song for me, 
The music has got me, rocking my soul, 
Oh Lord I pray I'll never grow old 
Swing & dine & dance for your money 
Swing & dine & dance for your money 

 
 
",Swing and Dine
The Melodians,"Love makes the world go round and round
Love makes the world go round and round

We're gonna make things better
Just you wait and see
You for me and me for you
We'll find so much joy in the things we do
We can make our wishes come true

Oh, I say
Love makes the world go round and round
Love makes the world go round and round

If you're looking down that's not the way to feel
My love is for real and you can feel the same way too
As long as it's you and me

Oh, I say
Love makes the world go round and round
Love makes the world go round and round

If you're looking down that's not the way to feel
My love is for real and you can feel the same way too
As long as it's you and me

Oh, I say
Love makes the world go round and round
Love makes the world go round and round
",Love Makes the World Go Round
The Memory Band,"[Intro]
Ms. Dynamite inside the place listen to the Dynamite
Ms. Dynamite, Ms. Dynamite, Ms. Dynamite inside the place
Oh, with the Sticky
And you know that and you know we gon' get them crowd hype
And you know that and you know we gon' get them crowd hype
And you know that and you know we gon' get them crowd hyper
Hyper, hy, hy, hyper inside the place, hyper inside the place
Hy, hy, hyper and we tell them, we tell dem

[Hook]
Getta widda rhythm getta wid the drum
Getta widda rhythm getta wid the drum
I fight on my tongue like you not want some
Let my lyrical tongue be your medicine
Getta widda rhythm getta wid the drum
Getta widda rhythm getta wid the drum
I fight on my tongue like you not want some
Let my lyrical tongue be your medicine

[Verse One]
Feel the bad gyal bass
Feel the bad gyal bass injection
Here's the DJ wid the boom selection
This ones psychotic it should be sectioned
It's the rage insane wen I feel no pain
Excuse while I get into your brain
Let the bass vibrate them veins
Go fuck up like it was cocaine what's my name...
Dib e dibbie dy-na-mi-tie 2 get the people get them lively, lively
lively, lively

[Chorus]
En den we shout booooo inna yo ed
Lyrical shot, get up I said
Gotta do a song, dat everybody shud make
Da gunman run en call friends I says
Den we shout booo inna yo ed
Lyrical shot, get up I said
Gottaa do a song dat everybody shud make
Da gunman run en call friends I says

[Verse Two]
Gettaa widda little bitta base an drum
Hear nah ya so fuck da poor en fuck da gun
Becuzza back in da day woz all about fun
Tekin ya bak on ma lyrical tongues
My only weapon, fucked hard up at fills
A thrill, no cost don't kill
Yeh stan still
I'mma lick ya widda vibe datch you can feel
Becuz itz not about da bad attitudes
An its not about da bad vibes
No matta who you are an no matta wat ya do
you can get sum ova natural high
It's not about a dem attitudes
It's not about dem bad vibes
No matta who you are (who you r)
Wat ya do (wat ya do)
Imma nah care wot ya crib
No dogs aloud in a d race assassan
But ders most be'aviour, boy
Pleas sort dem, fuck hurrys
About ya grab breas an gay en wonder why
She, vex so wen ya grabby grabby
Tel him flea if he step direspectfully (it's he) had enuff
Tellin us, tellin me, tellin me, tell him flea
Tho sum gyals think dem 2 nice
Dey stan up innna place demma pay big price
Dark talk but demma cold like ice
Try screw bout ya scary az spies
Man in a venue demma 2 rah rah
Wen dey want to get it at a pu-na-na
An I'm like cha 'cause dem blah blah
Dats it, I rest, me not a rah rah
Rah rah it bumba bumba clart it, it
Gedda wid da rhythm now get me started
Me nah cum fer dex me jus on raves, hey
Nat fuss nat fuss ta fight a girlfrend top
Ya nice is nat right a
Let enuff ta every brotha in sight a
I don't mean ta be	 impolite a
But its like ya begga beggin' fer ya breas 2nite

[Outro]
Lisen 2 the dy-na-might
Lisen 2 the dy-na-might
Lisen 2 the dy-na-might, inside the place
It's not about about the fire lit
Not about tha, drugs
It's jus about, about the luv
Luv 4 the music
Luv 4 the bass
Ba yeh ace
There's no need
4 this badness in the place
Dibby D, d dy-na-might-ee
Ta get da ppl demma lively BOOO",Why
The Memphis Horns,"When I think about the good love you gave me
I cry like a baby
Living without you is driving me crazy
I cry like a baby
Well, I know now, that you're not a plaything
Not a toy, or a puppet on a string

As I look back on a love so sweet
I cry like a baby
Oh, every road is a lonely street
I cry like a baby
I know now that you're not a plaything
Not a toy, or a puppet on a string

Today we passed on the street, and you just walked on by
how my heart just fell to my feet
and like a fool I began to cry

Oh when I think about the good love you gave me
I cry like a baby
Living without you is driving me crazy
I cry like a baby
I know now,that you're not a plaything
I cry like a baby, cry like a baby

Every road is a lonely street
I cry like a baby, cry like a baby
Living without you is driving me crazy
I cry like a baby, cry like a baby
I cry, I cry, I cry",Cry Like a Baby
The Memphis Horns,"Gee whiz, look at his eyes 
Gee whiz, how they hypnotize 
He's got everything a girl could want 
Man, oh, man, what a prize! Oooh ooh 

Gee whiz, he's all the joy 
Gee whiz, I could find in a boy 
He's awful nice, its paradise 
I hope I'm not he's decoy 

Heaven up above knows how much 
I love that gentle soul 
Angels sing of a love like this 
I hope our love will grow and grow 

Oh, gee whiz, I love that guy 
Gee whiz, my, my, oh my 
There are things we could do 
I could say I love you 
But all I can say is
Gee whiz!",Gee Whiz
The Memphis Horns,"I've been loving you a little too long
To stop right now

You're tired and you wanna be free
My love is growing stronger
As you become a habit to me

Ooh, and loving you a little too long
I don't wanna stop right now
Oh, with you my life has been so wonderful
I just can't stop now

You're tired and your love is growing cold
My love is growing stronger
As our affair grows old

And I've been loving you just a little too long
I don't wanna stop now

Ooh, ooh, and loving you
Loving you a little too long
Don't wanna stop now

Ooh, ooh, too long, long
Don't wanna stop my loving you right now
No, oh, I've been loving you a little too long
To stop right now
Ooh, ooh, loving you a little too long
To stop right now

No, oh, I can't stop now, no
Loving you a little too long
To stop right now",I've Been Loving You Too Long
The Memphis Horns,"I just came back from a lovely trip along the Milky Way
Stopped off at the North Pole to spend a holiday
I called on dear old Santa Claus
To see what I could see
He took me to his workshop 
And told his plans to me, so
 
[Chorus]
You better watch out, you better not cry
Better not pout, I'm telling you why
Santa Claus is comin' to town
He's making a list and checking it twice
Gonna find out who's naughty and nice
Santa Claus is comin' to town
He sees you when you're sleepin'
He knows when you're a wake
He knows if you've been bad or good
So be good for goodness sake
Oh! You better watch out, you better not cry
Better not pout, I'm telling you why
Santa Claus is comin' to town
 
With little tin horns and little toy drums
Rooty toot toots and rummy tum tums
Santa Claus is comin' to town
And curly head dolls that toddle and coo
Elephants, boats, and kiddie cars too
Santa Claus is comin' to town
Then kids in Girl and Boy land will have a jubilee
They're gonna build a Toyland all around the Christmas tree
So! You better watch out, you better not cry
Better not pout, I'm telling you why
Santa Claus is comin' to town
 
Now Santa is a busy man, He has no time to play
He's got millions of stockings to fill on Christmas day
You'd better write your letter now
And mail it right away
Because he's getting ready
His reindeer's and his sleigh. So
 
[Chorus]
 
With little tin horns and little toy drums
Rooty toot toots and rummy tum tums
Santa Claus is comin' to town
And curly head dolls that toddle and coo
Elephants, boats, and kiddie cars too
Santa Claus is comin' to town
Then kids in Girl and Boy land will have a jubilee
They're gonna build a Toyland all around the Christmas tree
So! You better watch out, you better not cry
Better not pout, I'm telling you why
Santa Claus is comin' to town",Santa Claus Is Coming to Town
