Band,Lyrics,Song
The Primitives,"I just want to sit here doing nothing
Everybody's talking saying nothing
Maybe I should move on somewhere else
Give up trying to be like someone else

Everybody's going crazy
I don't care
I'm so lazy

Quite content to let the world pass by
Living every moment with closed eyes
Draw the curtains tell the stars good night
Oh the dreams that wait for me tonight

This whole world's crazy
I don't care
I'm so lazy

I just want to sit here doing nothing
Everybody's talking saying nothing
Maybe I should move on somewhere else
Give up trying to be like someone else

Everybody's going crazy
I don't care
I'm so lazy

I think I'll go to sleep
[repeat 4x]",Lazy
The Primitives,"i see no feeling in your eyes
no love no meaning in your eyes
when i with you i don't know why
cant think straight i don't know why
and if its all the same to you i think ill take a walk
cuz your too loud and your really stupid
cant stand another second of your talk
cuz your too loud and your really stupid
stop your saying 
its really stupid

i'm sitting here listening to your voice
i'm losing myself in your voice
when i'm with you i've got no choice
found me loving with your voice
and if its all the same to you i think i'll stay outside

cuz your too loud and your really stupid
take a look around for a place to hid
cuz your too loud and your really stupid
stop your saying 
its really stupid

i see no feeling in your eyes
no luv no meaning in your eyes
i see no feeling in your eyes
cuz everything you say is lies
and if its all the same to you i think i'll take a walk

cuz your too loud and your really stupid
cant stand another second of your talk
cuz your too loud and your really stupid
stop your saying 
its really stupid

",Really Stupid
The Primitives,"some people don't have any soul
some people havn't got a clue how
some peoples heads descend to roll
some poeple should be in the zoo now
you can't bring me down
i can see all around
you can't bring me down
cause I see all around

some people only double talk
some people wanna rule the world now
you gotta crawl before you walk
you're gonna get your fingers burned now

you can't bring me down
you can't do no wrong
i can see all around
i know what's going on
you can't bring me down
i've been down too long
cause i see all around
i know what's going on

eye's wide open and i can see all around
i'll tell you something ain't nothing gonna drag me down
ain't nothing gonna drag me down

some people don't have any soul
some people havn't got a clue how
some peoples heads descend to roll
some poeple should be in the zoo now

some people only double talk
some people wanna rule the world now
you gotta crawl before you walk
you're gonna get your fingers burned now

you can't bring me down
you can't do no wrong
i can see all around
i know what's going on
you can't bring me down
i've been down too long
cause i see all around
i know what's going on

",Can't Bring Me Down
The Primitives,"Ba ba ba ba ba ba
Ba ba ba bu ba ba
Ba ba ba ba ba ba ba
 
Turn around and I'll be there
Take my hand and climb the stairs
Throw your troubles to the wind
Summertime is happening 
 
Thank the sun up in the sky
Never had to reason way
Find a place where love can grow
Lets stay in the shadows 

We've got secrets
Nothing touches us
Secrets we walk in the sun
We've got secrets
You can't come with us
Secrets are not for everyone 

Ba ba ba ba ba ba
Ba ba ba bu ba ba
Ba ba ba ba ba ba ba

Turn around and ill be there
In your dreams and everywhere
Put your worries in a jar
Take my hand we'll go far 

Empty sun up in the sky
Never had to reason way
Find a place where love can grow
Lets stay in the shadows

We've got secrets
Nothing touches us
Secrets we walk in the sun
We've got secrets
You can't come with us
Secrets are not for everyone 

Ba ba ba ba ba ba
Ba ba ba bu ba ba
Ba ba ba ba ba ba ba

Secrets

We walk in the sun
Up in the sky
To reason why
Love can grow 

We've got secrets
Nothing touches us
Secrets we walk in the sun 

We've got secrets
You can't come with us
‘Cause our secrets are not for everyone 
Secrets are not for everyone",Secrets
The Primitives,"don't say you're having fun 
 there's no fire in your sun  
 there's nothing here that is real   
nothing that I'd stay here for  
nothing I'd like to steal  
And I'm sick of it all  
I'm sick of it 
 don't say you're heaven nigh 
 there's no stars in your sky  
 there's nothing here that is real  
well nothing that I'd stay here for  
nothing I'd like to steal  
And I'm sick of it all  
I'm sick of it   
there's nothing here that is real  
nothing that I'd stay here for  
nothing I'd like to steal  
And I'm sick of it all  
I'm sick of it   
don't say you're having fun  
(don't say you're heaven nigh)  
there's no fire in your sun  
(there's no stars in your sky)   
sick of it  
sick of it all  
sick of it  
sick of it all",Sick of It
The Primitives," don't want to go home
don't mind being alone
stay out in summer rain
walk about in summer rain
by myself don't need no other
no need to run for cover
stay out in summer rain
walk about in summer rain
and all my troubles washed away
i don't feel anything today
august is here again
i'm lost in summer rain
stay out in summer rain
i'm lost in summer rain
i'm lost in summer rain
i'm lost in summer rain
i'm lost in summer rain",Summer Rain
The Princes Of Hollywood,"I've held your hand so many times 
And I still get the feeling I felt the very first time 
I've kissed your lips and laid with you 
And I've cherished every moment we've spent in each other's arms 

I guess my eyes can only see as far as you 
'Cause I only want 2 be with you 

We've come so far in so little time 
Sometimes I wonder if this is meant 2 be 
'Cause sometimes you are oh so very kind 
The nights you're not with me I'm scared that you're gonna leave 

I guess you could say that I'm just being a fool 
'Cause I only want 2 be with you 

Hey, hey, I guess you could say that I'm, I'm just being a fool 
'Cause I only, only want to be with you 
With you",I Will Not Dance (With You)
The Princes of Serendip,"Heaven will be here on earth
If we just try 2 love 

Heaven, heaven
We will find heaven
Heaven, all in time

Other people we are glad 2 meet [another] lost
Soon our hearts are heavy till no man could bear the cross
We can dream of color if we look into the sun
[On a] day of kindness only blind will dig the one

There's only one heaven
Heaven
We will find heaven
All in time

(Heaven) {repeated in BG}
Anybody want 2 go 2 hell?
Hell no!
Don't like hell

When I go 
(When you go)
Will I know 
(U'll know) 
When I go
(When you go)
When will I know
(U gotta bear your soul)

When I go 
(When you go)
Will I know 
(U will know)
When I go
(When you go)
When will I know
(U gotta bear your soul)

When I go 
(When you go)
Will I know 
(I don't know)
When I go
(When you go)
When will I know
(U gotta bear your soul)

Heaven {repeated}",Heaven
The Prisoners,"Imagine there's no heaven
It's easy if you try
No hell below us
Above us only sky
Imagine all the people living for today

Imagine there's no countries
It isn't hard to do
Nothing to kill or die for
And no religion too
Imagine all the people living life in peace, you

You may say I'm a dreamer
But I'm not the only one
I hope some day you'll join us
And the world will be as one

Imagine no possessions
I wonder if you can
No need for greed or hunger
A brotherhood of man
Imagine all the people sharing all the world, you

You may say I'm a dreamer
But I'm not the only one
I hope some day you'll join us
And the world will be as one",Imagine
The Prize Fighter Inferno,"Oh, come now father dear and turn this blood to choice. 
You know, I think these young are spent & have seen their day. 
My back bares the scars of work while my sweat has cut the cost. 
If my word to God isn't bond, then I'll be damned to say, 
This can't be so bad, 
Only I sure did love the way she danced, 
Oh these dirty games I play, 
Long-Arm, you liar! 
Go run home to Mama! 
A good boy never gets to dance, 
These good boys never get a chance",Accidents
The Prmetime Heores,"Life's not like when I was sixteen
When I had everything
When I had everything
Everything I need

Today I'm always wanting
I'm always longing
I'm always looking to find the one thing that I need

So when I leave (when I leave)
Just know
Just know I'll miss sweet

Cause my minds always thinking
As time goes a long
And I'll always be thinking
Of a time long gone

So when I leave (when I leave)
You'll be in my dreams
I'll see you in my sleep
My sweet

And I'll try and play nintendo
Try not to think much
Try not to think too much about you and me

But I'm a hopeless case
And all I sees your face
And all I sees the one thing that im missing

So when I leave (when I leave)
Just know
Just know I'll miss sweet

Cause my minds always thinking
As time goes a long
And I'll always be thinking
Of a time long gone

So when I leave (when I leave)
You'll be in my dreams
I'll see you in my sleep
My sweet

When my mind goes astray
I can't think of ways
I can't think of ways to come around
All I needs a photograph
A piece from the past
Take me back
To solid ground
Yeah

Cause my minds always thinking
As time goes a long
And I'll always be thinking
Of a time long gone

Cause my minds always thinking
As time goes a long
And I'll always be thinking
Of a time long gone

So when I leave (when I leave)
You'll be in my dreams
I'll see you in my sleep
My sweet

My Sweet
My Sweet
My Sweet ",My Sweet
The Proclaimers,"I've got an achin' in my heart
Arson on my mind
I'm gonna burn your playhouse down
I've got a badly broken heart

I've bad it from the start
You're giving me the run around
Now if you play with fire
It's a-sure to burn

I've beard this all of my life
Go on, be on your way, I've bad my say
Well honey, I'm through with you for life
You'll find I'm there's one in every yard

I'm getting mighty tired
I'm gonna burn your playhouse down
Now don't pretend that this is the end
'Cause this time we're really through

While you were runflin' 'round
Burning up the town
I was settin' a trap for you
I've got an achin' in my heart

Arson on my mind
I'm gonna burn your playhouse down.",(I'm Gonna) Burn Your Playhouse Down
The Proclaimers,"Beautiful beautiful beautiful truth
Don't leave because I can't see you
You know the hours that I passed without you
Every heartbeat that I chose to flout you
And how I felt no shame
I know this problem is of my own making
I know you're giving here and I'm not taking
But please don't leave this place
Let me complicate what you made simple
By looking fancy or sounding boastful
Please bring me down
Arid now that I have said what's on my mind
And its obvious that I am blind
Please say you'll stay
Spin me round
Bring me down
He my sound
But don't leave.",Beautiful Truth
The Proclaimers,"Since I started being impressed
By the things that move me 
All the treasures that I missed
Came back to stand around me
And as I curse the wasted time

I lift my head to say
Thank you god you gave the strength
That helped me walk away
All the fear and anger
Still stays within my heart
And I can't recall the last time
I imagined they'd depart

But this is what I'm going to do
When they force me to doubt
I'll ask for what I know remains

To help me sing them out
As rays of sun shine through the clouds
To heat the soaking ground
So when we come to sing the shouts

We'll burn the theaters down
Let every disbelieving sneer
That looked me in the back
Turn, come towards us, 
And feel the first attack.",The First Attack
The Proclaimers,"Saw a man who was fifty-one
He bad married daughters and a single son
And he's lost his job as this years begun
And it broke my heart

Saw his wife who was fifty-two
She said she was sure they could make it through
That her single wage would just have to do
And it broke my heart

Talked about it with the family now
What began in sadness ended up a row
All the guys with the clever mouths
They were saying we should move south
Saw the son who's been gone two weeks
And he's down already with a job to seek
And he's in Kings Cross and there's no-one speaking
And it broke my heart.",It Broke My Heart
The Proclaimers,"I'm not going to talk about doubts and confusion
On a night when I can see with my eyes shut
I'd never been to Ayrshire
I hitched down one saturday
Sixty miles to Kilmarnock
To see Hibernian play
The day was bright and sunny
But the game I won't relay
And there was no Kilmarnock Bunnet
To make me want to stay

But I'm not going to talk about it
On a night when I can see with my eyes shut
When I started walking at Wishaw
My eyes obscured my vision
After five miles on my way
I began to learn to listen

I walked through the country
I walked through the town
I held my head up
And I didn't look down
The question doesn't matter
The answer's always ""aye""
The best view of all
Is where the land meets the sky.",The Joyful Kilmarnock Blues
The Proclaimers,"When you go will you send back
A letter from America?
Take a look up the rail track
From Miami to Canada

Broke off from my work the other day
I spent the evening thinking about
All the blood that flowed away
Across the ocean to the second chance

I wonder how it got on
When it reached the promised land?

I've looked at the ocean
Tried hard to imagine
The way you felt the day you sailed
From Wester Ross to Nova Scotia

We should have held you
We should have told you
But you know our sense of timing
We always wait too long

Lochaber no more
Sutherland no inure
Lewis no more
Skye no more

I wonder my blood
Will you ever return?
To help us kick the life back
To a dying mutual friend

Do we not love her?
Do we not say we love her?
Do we have to roam the world
To prove how much it hurts?

Bathgate no more
Linwood no more
Methil no more
Irvine no more

",Letter from America [Acoustic Version]
The Proclaimers,"Please don't go rushing by
Stay and make my heart fly
Please don't go rushing by
Stay and make my heart fly

'Cause I never seem to notice time
When you're with me
You can tell it to the birds

I'll tell the bees
I can't do any more
To got inside your door
I can't do any more
Please let me inside your door.",Make My Heart Fly
The Proclaimers,"When the inspiration 
Is above my station
Thoughts are iqeienchoiy 
And I let them pass
I tend to view this nation
Through the condensation

On a dirty glass
When the singer solemn 
Was a honnie laddie
When she brushed his hair 
With a watered comb
Then he could have wandered
And he could have shown ye
Seven hit is like home
If misty eyes can witness 
Love and affection

Why does the heart still resist
What the hell is wrong with you?
I've got eyes of misty blue
All the things I want to do
Are all I ever wanted to

As the ladik grew 
And he looked around him
At the thugs and rapists 
In their stolen suits
Louder beat the rhythm 

Of his bloody heart
Telling him to shoot
Thoughtless competition
Like a home-made prison
Made him fix his vision
On a certain fate
What's the use in winning 
All the worlds creation
If you won't create.",Misty Blue
The Proclaimers,"This is the story of our first teacher
Shetland made her jumpers
And the devil made her features
Threw up her bands when my mum said our names
Embroidered all her stories with slanderous claims
It's over and done with

This is the story of losing my virginity
I held my breath and the bed held a trinity
People I'm making no claims to a mystery
But sometimes it seems like
My sex life's all history
I'm not saying these events didn't
Touch our lives in any way
But, ah, they didn't make the impression
That some people say

This is the story of watching a man dying
The subjects unpopular
But I don't feel like lying
When I think of it now I acted like a sinner
I just washed my bands
Then I went for my dinner.",Over and Done With
The Proclaimers,"Don't get me wrong
Don't mind you shouting
Just think your style excludes
The part that really matters

Just grow tired
Of empty minds mouthing
English language courses
While they struggle with the a be see of heart

And I confess
That all I've learnt
Has been learnt a million times
By every empty heart

That ever felt a song come home
But I'd he happy
When next I ask the time
11 I find I've wasted none of mine
listening while you wasted all of yours.",The Part That Really Matters
The Proclaimers,"It could be tomorrow, or it could be today
When the sky takes the soul
The earth takes the clay
I sometimes wonder why I pray
When my spirit drives away

With a faith and a bit of luck
And a half-tonne bomb in the back of a truck
Feel the towel it's wet with sorrow
From the tears we'll shed tomorrow

Don't bring flowers, take a chance
On some graves you should dance
It its tomorrow, or if its today
I don't say it will be, I just say it may

When I'm on my knees
To the gates I'll stumble
And plead my case
In a style that's humble.",Sky Takes the Soul
The Proclaimers,"I've been so sad
Since you said my accent was bad
He's worn a frown
This Caledonia clown
I'm just going to have to learn to hesitate
To make sure my words

On your Saxen ears don't grate
But I wouldn't know a single word to say
If I flattened all the vowels
And threw the 'are' away

You say that if I want to get ahead
The language I use should he left for dead
It doesn't please your ears

And though you tell it like a leg pull
I think your still full of John Bull
You just refuse to bear

Some days I stand
On your green and pleasant land
Now dare I show face
When my diction is such a disgrace

Oh what can I do
To be understood by you
Perhaps for some money
I could talk like a bee dripping honey.",Throw the 'R' Away
The Proclaimers,"Just when every ray of hope was gone
I should have known that you would come along
I can't believe I ever doubted you
My old friend the blues

Another lonely night, a nameless town
If sleep don't take me first, you'll come around
I know I can always count on you
My old friend the blues

Lovers leave and friends will let you down
But you're the only sure thing that I've found
No matter what I do, I'll never lose
My old friend the blues

Lovers leave and friends will let you down
But you're the only sure thing that I've found
No matter what I do, I'll never lose
My old friend the blues

Just let me hide my weary heart in you
My old friend the blues",My Old Friends the Blues
The Proclaimers,"Ten years ago, on a cold dark night
Someone was killed, 'neath the town hall light
There were few at the scene, but they all agreed
That the slayer who ran, looked a lot like me

The judge said son, what is your alibi
If you were somewhere else, then you won't have to die
I spoke not a word, thou it meant my life
For I'd been in the arms of my best friend's wife

[Chorus]
She walks these hills in a long black veil
She visits my grave when the night winds wail
Nobody knows, nobody sees
Nobody knows but me

Oh, the scaffold is high and eternity's near
She stood in the crowd and shed not a tear
But late at night, when the north wind blows
In a long black veil, she cries ov're my bones

[Chorus]",Long Black Veil [*]
The Proclaimers,"Pretty girl, don't you waste a word
For I can't love you, not ever

Take this afternoon, recall our sexual mood
But, I'm not loving you, not ever

Ooh, ooh, ooh, ooh

See that southern sky
Drifting past the lights
It won't touch you or I, not ever

Ooh, yeah, ooh, ooh

",Not Ever [*]
The Proclaimers,"I could tell the meaning of a word like serene
I got some 'O' Grades when I was sixteen
I can tell the difference between margarine and butter
I can say ""Saskatchewan"" without starting to stutter

But I can't understand why we let someone else rule our land
We're Cap in Hand

I could get a broken jaw from being in a fight
I know its evening when day turns to night
I can understand why Stranraer lie so lowly
They could save a lot of points by signing Hibs Goalie

But I can't understand why we let someone else rule our land
We're Cap in Hand

We fight, when they ask us
We boast, then we cower
We beg
For a piece of
What's already ours

Once I thought I could make God a bribe
So I said I was in his lost tribe
Getting handouts can be so frustrating
""Get in line son, there's five million waiting""

I can't understand why you let someone else rule your land
You're Cap In Hand.",Cap in Hand
The Proclaimers,"Come on nature, I don't want to read a book or talk about the world
Come on nature, I just want to spend some time being boy to the girl
Come on nature, let me show the way that I've been feeling all along
Come on nature, just because I don't feel weak don't mean I feel so strong

I've been known to ask a few more favours than I should of you
And in time I'm sure I'll still want things that you could never do
If she wasn't mine, if I was stepping out of line,
But she's mine and I'm in line and she's the best I've ever seen

Come on nature, let me show the way that I've been feeling all along
Dark brown hair, green eyes and white skin
You perfect every color that she's in

Come on nature, I don't want to read a book or talk about the world
Come on nature, I just want to spend some time being boy to the girl
Her and me, I could be complete if you could let it be
My desire, is to stretch myself inside her body's fire

If I stumbled in then I could say that I had been to the chamber 
Where your greatest work of art was on display.",Come on Nature
The Proclaimers,"When I wake up, well I know I'm gonna be,
I'm gonna be the man who wakes up next you
When I go out, yeah I know I'm gonna be
I'm gonna be the man who goes along with you
If I get drunk, well I know I'm gonna be
I'm gonna be the man who gets drunk next to you
And if I haver up, yeah I know I'm gonna be
I'm gonna be the man who's havering to you

But I would walk five hundred miles
And I would walk five hundred more
Just to be the man who walks a thousand miles
To fall down at your door

When I'm working, yes I know I'm gonna be
I'm gonna be the man who's working hard for you
And when the money, comes in for the work I do
I'll pass almost every penny on to you
When I come home (when I come home) well I know I'm gonna be
I'm gonna be the man who comes back home to you
And if I grow-old (when I grow-old) well I know I'm gonna be
I'm gonna be the man who's growing old with you

But I would walk five hundred miles
And I would walk five hundred more
Just to be the man who walks a thousand miles
To fall down at your door

Da da da (da da da)
Da da da (da da da)

Da da da dun diddle un diddle un diddle uh da

Da da da (da da da)
Da da da (da da da)

Da da da dun diddle un diddle un diddle uh da

When I'm lonely, well I know I'm gonna be
I'm gonna be the man who's lonely without you
And when I'm dreaming, well I know I'm gonna dream
I'm gonna dream about the time when I'm with you
When I go out (when I go out) well I know I'm gonna be
I'm gonna be the man who goes along with you
And when I come home (when I come home) yes I know I'm gonna be
I'm gonna be the man who comes back home with you
I'm gonna be the man who's coming home with you

But I would walk five hundred miles
And I would walk five hundred more
Just to be the man who walks a thousand miles
To fall down at your door

Da da da (da da da)
Da da da (da da da)

Da da da dun diddle un diddle un diddle uh da

Da da da (da da da)
Da da da (da da da)

Da da da dun diddle un diddle un diddle uh da

Da da da (da da da)
Da da da (da da da)

Da da da dun diddle un diddle un diddle uh da

Da da da (da da da)
Da da da (da da da)

Da da da dun diddle un diddle un diddle uh da

And I would walk five hundred miles
And I would walk five hundred more
Just to be the man who walked a thousand miles
To fall down at your door",I'm Gonna Be (500 Miles)
