Band,Lyrics,Song
Regina Marie Williams,"There is no greater love
Than what I feel for you
No greater love,
No heart so true

There is no greater thrill
Than what you bring to me
No sweeter song
Than what you sing to me

You're the sweetest thing
I have ever known
And to think that
You are mine alone.

There is no greater love
In all the world, it's true
No greater love
Than what I feel for you

You're the sweetest thing
I have ever known,
And to think that
You are mine alone.

There is no greater love
In all the world, it's true
No greater love
Than what I feel for you",There Is No Greater Love
Regina Regina,"(Bob Regan/Michael Noble)

I wanted to know about tenderness
About the magic in a kiss and all the rest
It was easy for you to play the part
Of a romeo to my willing heart
I gave it freely
Oh you showed me

Chorus:
Just a little more than I wanted to know
Just a little further than I wanted to go
I found out if you twist me, turn me, sooth me, burn me
You leave me all mixed up
that's just a little more than I wanted to know about love

Its a real good lesson I learned from you
The more you give the more you stand to lose
I gave my all, hey that's the deal
But what I got was all to real
The joy and the lonesome
The good and then some

(Repeat Chorus)

Just a little more than I wanted to know
Just a little further than I wanted to go
I found if you heal me, break me, kill me, save me
Hurts all too much
that's just a little more than I wanted to know about love
About love",More Than I Wanted to Know
Regina Regina,"(Tim Mensy/Liz Hengber)

Once again its calling to her
Its a sound she knows
Through the night its getting louder
It must know she's home
Its trying to wear her down
As she sits softly crying
Feeling weak but being strong 
She lets that telephone ring

Chorus:
she used to run each time he called
She'd always give in
His voice would melt her 
And wash away his sins
She'd forgive him
But tonight she's keeping 
That hand from reaching
she'll let that telephone ring

From a phone booth he just listens
Why don't she pick up
He's been trying now for hours
Still he won't hang up
He's feeling desperate now
As the rain starts falling
He can't face it that its over
He lets that telephone ring

(repeat chorus)

She turns the light off
Lays her head down
Lets that telephone ring",She'll Let That Telephone Ring
Regina Spektor,"I went flyin' out of my window 
I went flyin' out of my window 
Been caught doin' it once or twice 
But it feels so real nice 
Oh it feels so real nice 

Saw the earth and I saw the sky 
Saw the earth and I saw the sky 
Been caught doin' it once or twice
But it feels so real nigh 
Oh it feels so real nigh 
Oh it feels so real nigh 

Went to school with them boring teachers 
Who thought they was all my preachers 
So I went starin' out of my window 
I went starin' out of my window 
Been caught doin' it once or twice 
But it feels so real nice 
Oh it feels so real nice, 
Oh it feels so real nice, that I might even do it again 

One of them took me with him to sleep 
Said not to make a peep 
Said it'll be a secret we keep 
So I didn't make a peep 
Kissed my cheek and rubbed my feet 
But his kissin' didn't taste so sweet 
Told him I just wanted to sleep 
So he got mad 
And he got madder, and he got maddest of them all 

Sent me flyin' out of his window 
Sent me flyin' out of his window 
Not caught once, not caught twice 

And I've been flyin' ever since 
And I've been flyin' in the skies",Flyin
Regina Spektor,"I want to sing to you my love 
My only love and happiness 
Don't be so blue so blue my love 
Take off your shoes take off my dress 
I want to sing to you my love 
My only love and happiness 
Don't be so blue so blue my love 
This too shall pass this too shall pass 

But tell me, what have I done to deserve you? 
Must have done something cause that's how it works 
Must have been kind to kittens and birds
In a previous life must have thought happy thoughts

'cause there, you were there right beside me 
Then somehow inside me while inside myself 
Books on the shelf thoughts on the shelf 
Hands to myself, i should definitely keep my hands to myself 

Love is a dangerous pastime 
Caught between madness and gladness of flight 
Nothing is wrong and nothing is right 
Falling asleep in your arms every night 

But Love's such a strange situation 
Full of frustration and anger and fear 
Everything's tears 
Nobody hears 
Nobody's here, and nobody hears

I want to sing to you my love 
My only love and happiness 
Don't be so blue so blue my love 
Take off your shoes take off my dress 
I want to sing to you my love 
My only love and happiness 
Don't be so blue so blue my love 
This too shall pass, this too shall pass",I Want to Sing
Regina Spektor,"Mr. Sunshine in the morning 
In the morning light 
Won't you come down from the ceiling 
Won't you stay the night 
Baby won't you stay the night 

In the summer I remember days so long and hot 
These past weeks it has been raining 
And now my song's a flood 
Baby now my song is a flood 

You've been driving down that same road 
Road rage in your eyes 
So won't you come down from the ceiling 
Won't you hear my cries 
Won't you hear my cries",Sunshine
Regina Spektor,"I was sleeping by the wasteside of tomorrow 
But its better than sleeping by the wasteside of today 
All the barbershops and funeral-homes were open 
And the customers were coming and the business was doing great 

I was sleeping by the wasteside of tomorrow 
Just dreaming dreams and drooling on my bed 
All the people in my town would be born 
Then they'd get themselves a little hair cut 
And then promptly after they'd be dead 

I was sleeping by the wasteside of tomorrow 
When a drunk girl awoke me on the train 
But I did not see her stumbling and I did not hear her mumbling 
As I dubbed myself a passenger 
And kindly stepped away 

I was sleeping by the wasteside of tomorrow I was sleeping 
I was sleeping I was sleeping by the wasteside of tomorrow 
I was sleeping by the wasteside of tomorrow of tomorrow 
Ladies and gentlemen 
I was just sle-aah

I was sleeping by the wasteside of tomorrow 
But it's better than sleeping by the wasteside of today 
All the barbershops and funeral-homes were open 
And the customers were coming and the business 
Was 
Doing 
Great",Wasteside
Regina Spektor,"Aching to pupate
Aching to pup-p-p-pate
[repeats 4x]
Pu-pupate, pu pate,
Pu-pate, pu-pupate, pu pa-ate?

I should peddle butterflies
There's a shortage in the city,
I'll stand on the street corner
All mysterious and giddy,
When the passers by pass by
I will open up my trenchcoat,
They will see the butterflies
Dangling like fake rolexes?

Every morning I wake up
With a purpose and a smirk
I'll put on my fake mustache
I'll drink Heineken eat cornflakes?

Then I'll call my mum and dad
Tell them that I'm doing fine,
Or I'll write a tipsy letter
To a real good friend of mine,
Or I'll jump upon the bed
Waltzing madly with the broomstick
But before I leave the house
I will paint my lips with lipstick?

But peddling is a dirty sport
There's competition in the city,
Everyone is on a street corner
All mysterious and giddy.
Some are selling bags and shoes,
Some are selling books and gold,
I've been standing here for days
Not one butterfly's been sold?

And how I'm
Aching to pupate
Aching to pup-p-p-pate
(repeats 4x)
Pu-pu-pate, pupate,
Pupate, pu-pu-pate, pu pa-ate.",Aching to Pupate
Regina Spektor,"I don't care that flowers grow for you,
And me, and me
You don't know what love is till you see,
Her standing there
A web of skin and nails and hair
A web of skin and nails and hair
And bones and bones,
And thorns
Rushing in, out her hair
You think you are alive, but you are dead
You keep, on driving in your car asleep
I'm driving in your car
I dont know why flowers grow in winter time
The sky turns gray the sun don't shine
And people rush to be on time
For warmth they wrap them selves in woolen cloaks
And hats and scarves
Like larva in their incubators
And drive and drive
[noises]
And drive and drive and drive
Until they get away",Lounge
Regina Spektor,"I know that you cannot be
Here
I know that you are not mine
Now
Looking out the window
At another window
I see toenails changing colors
Like the leaves of Fall

If you often smile
But often don't
Smile
Which do you do more often
Smile, or not?
I dreamt a hydrant
Was covered in snow
A white light glowing below...

I know that you cannot be
Here
I know that you are not mine
Now
Looking out the window
At another window
I see toenails changing colors
Like the leaves of Fall",Lulliby
