Band,Lyrics,Song
Ringo Starr,"Nobody loved her, it was easy to see
That made it easy for me
The boys never fought over her company
That made it easy for me

Love so bright could only blind us
How could reason hope to find us
Hiding in the milky way
Without a star to shine the way?

Sand castles fell from the tears in our eyes
That made it easier to see
Now the dream's over and I realize
That makes it easy for me
",Easy for Me
Ringo Starr,"Two broken hearts lonely looking like 
Houses where nobody lives.
Two people each having so much pride inside,
Neither sides forgives.
 
The angry words spoken in haste,
Such a waste of two lives.
It's my belief, pride is the chief cause and the decline
In the numbers of husbands and wives.
 
Two broken hearts lonely looking like 
Houses where nobody lives.
Two people each having so much pride inside,
Neither sides forgives.
 
The angry words spoken in haste,
Such a waste of two lives.
It's my belief, pride is the chief cause and the decline
In the numbers of husbands and wives.
 
A woman and a man, a man and a woman,
Some can and some can't, and some can't.
 
The angry words spoken in haste,
Such a waste of two lives.
It's my belief, pride is the chief cause and the decline
In the numbers of husbands and wives.
 
It's my belief, pride is the chief cause and the decline
In the numbers of husbands and wives.",Husbands and Wives
Ringo Starr,"Groovy!
Ah, there's music in the streets and there's music in the air.
A little ol' soul beat, and there's dancin' ev'rywhere.
I would tell the whole world, tell 'em if I could,
To add a little song into each life,
Oh, it's a-finger snappin' good.

Oh,
Oh,

Ah, pardon me, boys, but could you use it?
We're gonna make a little music.
You got soul, now don'tcha lose it,
We're gonna make a little music.
Everything's gonna be mellow,
We gon' just a-singin' occapella.
Everything's gonna be mellow,
We gon' just a-singin' occapella.

Oh,
Oh,
Hey!
Ah-ah-ah-ah-ah, ah-ah-ah-ah-ah,
Ah-ah-ah-ah-ah, ah-ah-ah-ah-ah.
Da-da-da-da-da-da-da, jabba dabba dabba dabba di dah.
Da-da-da-da-da-da-da, jabba dabba dabba dabba di dah.

Oh, there's dancin' in the streets and there's music in the air.
A little ol' soul beat, and there's dancin' ev'rywhere.
I would tell the whole world, tell 'em if I could,
To add a little song into each life,
You know it's finger poppin' good.

Oh,
Oh,

Pardon me, boys, but could you use it?
We're gonna make a little music.
You got soul, now don'tcha lose it,
We're gonna make a little music.
Everything's gonna be mellow,
We gon' just a-singin' occapella,
Everything's gonna be mellow,
We gon' just a-singin' occapella.

I said, Everything's gonna be mellow,
Everybody's singin' occapella.
I said, Everything's gonna be mellow,
Everybody's singin' occapella.
Everything's gonna be.",Occapella
Ringo Starr,"(Oo-oo-oo, oo-oo-oo-oo, oo-oo-oo-oo, oo-oo)
Only you can make this world seem right,
Only you can make the darkness bright.
Only you and you alone
Can thrill me like you do,
And fill my heart with love for only you.

Only you can make this change in me,
For it's true, you are my destiny.
When you hold my hand i understand
The magic that you do.
You're my dream come true,
My one and only you.

""Only you can make this world seem right,
Only you can make the darkness bright.""

Only you and you alone
Can thrill me like you do,
And fill my heart with love for only you.

Only you can make this change in me,
For it's true, you are my destiny.
When you hold my hand i understand
The magic that you do.
You're my dream come true,
My one, my one and only you.

Only you,
Only you,
Only you,
Only you,
Only you, (only you)
Only you, (only you)
Mm-mm-mm-mm,
Mm-mm-mm-mm, (only you)
Mm-mm-mm-mm.",Only You (And You Alone)
Ringo Starr,"Ever since I met you, baby,
I've been acting kinda strange.
I wake up in the morning,
Then without a warning,
All I do is scream your name, yeah.

Every time I look inside me,
I see the man that I've become.
You make me want to holler
And jump right out my collar,
You've got me on the run, yeah.

Oo-wee, babe, oo-wee, yeah,
Friends don't recognize me,
They say you hypnotize me,
Oo, what you done to me, babe?
You drive me out of my sunsets, oo-wee.

She look just like the new Jean Harlow, (oh!)
With sultry lips and long blond hair.
They say she came from Haites,
Or was it the Euphrates
That brought my lady here, yeah?

Oh-wee, babe, oh-wee, yea,
Friends don't understand me,
They say you underhand me,
Oh, what you done to me, babe?
You drive me out of my senses, oh-wee, yeah.

When I walk into her parlor,
It's like the spider and the fly.
In the darkness she surrounds me,
And weaves her web around me,
And locks me up inside, yeah.

She look just like the new Jean Harlow, (oh!)
With sultry lips and long blond hair.
They say she came from Haites,
Or was it the Euphrates
That brought my lady here, yeah?

Oh-wee, babe, oo-wee, yeah,
Friends don't understand me,
They say you underhand me,
Oh, what you done to me, babe?
You drive me out of my senses, oo-wee, yeah. (oh-wee)
Oh-wee, babe, (oh-wee) [Repeat: x3]",Oo-Wee
Ringo Starr,"By Elton John and Bernie Taupin


ONE, TWO, THREE, FOUR!

I WAS BORN IN THE NORTH OF ENGLAND,
I WAS RAISED IN A WORKING TOWN.
I BROKE ALL THE RULES WHEN I WENT TO SCHOOL,
BUT THE TEACHER'S COULDN'T PIN ME DOWN.

I TRIED TO MAKE MY PARENTS PROUD
BY ADAPTING THE SOCIAL POWERS.
OH, PIGS WILL FLY AND THE EARTH WILL FRY,
WHEN THEY GET ME DOING HONEST HOURS.

SNOOKEROO, SNOOKEROO, DADDY'S GOING ON THE BOOZE.
MOTHER USED TO CUT MY HAIR AND SISTER USED TO MAKE THE NEWS.
WELL, IT WAS TWO ROOMS UP AND TWO ROOMS DOWN,
WE WERE SENTENCED BY THE WRECKING CRANE.
OH, I WAS BORN ON THE EVE OF HALLOWEEN
AND SNOOKEROO, SNOOKEROO, SNOOKEROO'S MY NAME.

I NEED SOMEONE TO COOK FOR ME
AND TURN ME LOSE AT NIGHT.
I COULD SPEND MY LIFE WITH A FACTORY GIRL,
'CAUSE A FACTORY GIRL'S MY TYPE.

I HEAR THEM GOSSIP ON THE STREET,
MOST OF WHAT THEY SAY IS TRUE.
OH, DON'T YOU KNOW THAT I HEAR THEM SAY,
""THERE GOES THAT LAZY, NO GOOD SNOOKEROO.""

SNOOKEROO, SNOOKEROO, DADDY'S GOING ON THE BOOZE.
MOTHER USED TO CUT MY HAIR AND SISTER USED TO MAKE THE NEWS.
WELL, IT WAS TWO ROOMS UP (two rooms up)
AND TWO ROOMS DOWN, (two rooms down)
WE WERE SENTENCED BY THE WRECKING CRANE.
OH, I WAS BORN ON THE EVE OF HALLOWEEN
AND SNOOKEROO, SNOOKEROO, (Snookeroo)
SNOOKEROO'S MY NAME.

(Oo-oo, oo-oo, oo-oo, oo-oo)

SNOOKEROO, SNOOKEROO, DADDY'S GOING ON THE BOOZE.
MOTHER USED TO CUT MY HAIR AND SISTER USED TO MAKE THE NEWS.
WELL, IT WAS TWO ROOMS UP (two rooms up)
AND TWO ROOMS DOWN, (two rooms down)
WE WERE SENTENCED BY THE WRECKING CRANE.
WELL, I WAS BORN ON THE EVE OF HALLOWEEN
AND SNOOKEROO, SNOOKEROO,
SNOOKEROO, SNOOKEROO,
SNOOKEROO, SNOOKEROO,
SNOOKEROO'S MY NAME, YEH.



",Snookeroo
Ringo Starr,"Cross over the border,
We'll take a sailing ship into the night.
 
A sea without horizons,
We'll have each others love to hold us tight,
On a starless night.
 
Oh, las brisas,
Means the breeze will carry us like two birds in flight,
On a starless night.
 
Oh, penumbra,
Means the sunset that I see within your smile,
Is the dawn of your eyes.
 
Yo te amo,
Means I love you like I've never loved before.
 
Dreams come true, dear,
When I take you in my arms forever more,
Forever more.
 
Oh, las brisas,
Means the breeze will carry us like two birds in flight,
On a starless night.
 
Oh, penumbra,
Means the sunset that I see within your smile,
Is the dawn of your eyes.
 
Penumbra,
Means the sunset that I see within your smile,
Is the dawn of your eyes.
 
Yo te amo,
Means I love you like I've never loved before.
Forever more,
Forever more.",Las Brisas
Ringo Starr,"Well, I'm a-cookin',
Just a-cookin',
Cookin' in the kitchen of love,
Cookin' in the kitchen of love,
Lord, lord, ain't nothin' to it,
I want to do it,, cookin'.

Well, I'm a-truckin',
Just a-truckin',
Truckin' down the highway of love,
Truckin' down the highway of life,
Lord, lord, ain't nothin' to it,
Come watch me do it,, truckin'.

Well, we're gonna have a party, (bring yourself)
We're gonna have a party, (just can't get enough)
We're gonna have a party and do some layin' down.

Well, I'm a-rockin',
Just a-rockin',
I'm rockin' in the cradle of love,
Rockin' in the cradle of life,
Lord, lord, ain't nothin' to it,
Come help me do it,, rockin'.

Well, we're gonna have a party,
I said, we're gonna have a party,
We're gonna have a party and do some playin' 'round.

Well, it's got to be high, it's got to be low,
'Cause in between we just don't go.
Just gotta sing, (oh!) Just gotta dance,
Just gotta listen to the band.

(Hey, hey, hey, hey, hey, hey,
Hey, hey, hey, hey, hey, hey)
(Hey, hey, hey, hey, hey, hey,
Hey, hey, hey, hey, hey, hey)

Well, i'm a-dancing (dancin')
Da-da-da-da-cin' (da-da-da-dancin')
Well, dancin' in the streets of love,
Dancin' in the streets of life,
Lord, lord, ain't nothin' to it,
I can do it,, dancin'.

Well, we're gonna have a party,
I said, we're gonna have a party,
We're gonna have a party and do some layin' down.

Well, we're gonna have a party, (bring yourself)
I said, we're gonna have a party, (just can't get enough)
Come on, let's have a party and do some layin' down.

Oh, lord! I said we're gonna have such a beautiful party!
""Two three, four!""
And do some layin' down.
(So glad you could make it,
So glad you could come...)

Well, I'm a-cookin' and a-truckin'
And a-rockin' and a dancin'
The party's all over this place!
We're gonna call up some of my friends,
Come on now, it's gonna be wonderful!

(So glad you could make it, cookin')
So glad you could come, yes, I'm dancin')

(So glad you could make it, ah-ha)
(So glad you could come)",Cookin' (In the Kitchen of Love)
Ringo Starr,"I tried my best to get things over,
Did everything that I could do.
I didn't really want to hurt you,
But you must have realized we were through.

Now don't it make you feel cryin',
Watching a good love slowly die?
You and me could spend a lifetime tryin',
But we'd be better off just to simply say goodbye.

Just like two fools we couldn't make it,
The movie just went on too long.
I've been 'round and you've been through it,
But now I know we're getting strong.

Now don't it make you feel cryin',
Watching a good love slowly die?
You and me could spend a lifetime tryin',
But we'd be better off just to simply say goodbye.

It's time we burned our old love letters
And started out on a brand new life.
No one else can come between us,
'Cause I'm not your man, you're not my wife.

Still it makes me feel like cryin',
Watching a good love slowly die?
You and me could spend a lifetime tryin',
But we'd be better off just to simply say goodbye.

Still it makes me feel like cryin',
But we'd be better off just to simply say goodbye,

Bye-bye, bye-bye,
Bye-bye, bye-bye,
Bye-bye, bye-bye,
Bye-bye, bye-bye.",Cryin'
Ringo Starr,"Hey, hey hey baby!
I want to know if you'll be my girl
Hey, hey hey baby!
I want to know if you'll be my girl
When I saw you walking down the street
I said that's a kind of girl I'd like to meet
She's so pretty, Lord she's fine
I'm gonna make her mine, all mine

Hey, hey hey baby!
I want to know if you'll be my girl
When you turned and walked away
Thats when I want to say
C'mon baby, give me a whirl
I want to know if you'll be my girl

Hey, hey hey baby!
I want to know if you'll be my girl
When you turned and walked away
Thats when I want to say
C'mon baby, give me a whirl
I want to know if you'll be my girl

Hey, hey hey baby!
I want to know if you'll be my girl
Hey, hey hey hey hey, baby
C'mon, baby now",Hey! Baby
