Band,Lyrics,Song
B.J. Thomas,"Wish I was the Superman
Stoppin' trains and makin' diamonds in my hands
A big reporter man
I'd write all the news today
And it would say
Up, up, baby and away

'Cause I got fire in my head
And my feet they wanna dance
But I ain't got a chance
If I'm gonna have to wait forever
Well it might as well be never
Don't have a chance, no
I said I don't have a chance

Well, well, it's the underdog
And every door leads right back to the fog
You know baby, I don't wanna win 'em all
I just wanna win this one, that's all

Hey, hey 'cause I've got a fire in my head
And my feet they wanna dance
But I ain't got a chance
If I'm gonna have to wait forever
Well it might as well be never
I don't have a chance, no
I said I don't have a chance
No, no I don't have a chance

No, no 'cause I've got a fire in my head
Am I gonna have to wait forever
Well it might as well be never
I don't have a chance, no
I don't have a chance",Superman
B.J. Thomas,"Everybody's goin' away
Said they're movin' to LA
There's not a soul I know around
Everybody's leavin' town

Some caught a freight, some caught a plane
Find the sunshine, leave the rain
They said this town's a waste of time
I guess they're right, it's wastin' mine

Some gotta win, some gotta lose
Good time Charlie's got the blues
Good time Charlie's got the blues

Ya know my heart keeps tellin' me
""You're not a kid at thirty-three""
""Ya play around, ya lose your wife""
""Ya play too long, you lose your life""

I got my pills to ease the pain
Can't find a thing to ease the rain
I'd love to try and settle down
But everybody's leavin' town

Some gotta win, some gotta lose
Good time Charlie's got the blues
Good time Charlie's got the blues
Good time Charlie's got the blues

(whistling to end)",Good Time Charlie's Got the Blues
B.J. Thomas,"Met the girl that I want to get to know a little better
Tonight I'm gonna take her to the picture show
Gonna park in the darkest spot I know
I got a question
That I never asked anybody else before

Hey would you help me make it to my rockin' chair
Love me all of my life
Don't wanna grow old without ya
Don't wanna be out in the cold without ya
No more

Help me make it to my rockin' chair
Been saving my good times for the good
Would you hold me and never ever let me go

I've been told about love for so long
Been left cold without love for so long
Told of disappointments all so wrong
And I can't see me
In tomorrow
Without you beside me

Help me make it to my rockin' chair
Love me all of my life
Don't wanna grow old without ya
Don't wanna be out in the cold without ya
No more

Help me make it to my rockin' chair
Been saving my good times for the good
Would you hold me and never ever let me go

Help me make it to my rockin' chair
Been saving my good times for the good
Would you hold me and never ever let me go

Hey would you help me make it to my rockin' chair
Love me all of my life
Don't wanna grow old without ya
Don't wanna be out in the cold without ya
No more

Help me make it to my rockin' chair
Been saving my good times for the good
Would you hold me and never ever let me go

Help me make it to my rockin' chair
Been saving my good times for the good
Would you hold me and never ever let me go",Help Me Make It (To My Rockin' Chair)
B.J. Thomas,"God bless the day I found you
I want to stay around you
And so I beg you
Let it be me.
Don't take this heaven from one
If you must cling to someone
Now and forever
Let it be me.
Each time we meet love
I find complete love.
Without your sweet love
What would life be?
So never leave me lonely
Tell me you love me only
And that you'll always
Let it be me.
Each time we meet love
I find complete love
Without your sweet love
What would life be?
So never leave me lonely
Tell me you love me only
And that you'll always
Let it be me.",Let It Be Me
B.J. Thomas,"The morning sun woke me
I felt the warmth of soft skin beneath my hand
Last night the devil got to me
And today I'm just a common man
So I'll get up and say goodbye
On my way home I'll make up the lie
That holds our lives together one more time

I'll be lyin' again
I'll be tryin' again
Hopin' I don't hurt you 
Like the last time
But you'll be cryin' again
You know I'm lyin' again
Telling you
This is the last time

I'll be lyin' again
I'll be tryin' again
Again",Lyin' Again
B.J. Thomas,"Yeah they say the blues
Are hard to forget
I wouldn't know I haven't been there yet
I'm happy
Got the sunshine above me

The rent note is spent
And bills to pay
And I don't know if I'll find a way
But I'm happy 
And we're happy together

Now I don't know much about tomorrow
I only know that I love you today
Hey hey hey

So I don't care
Rain or shine
Cause a cup of rain
Will taste like wine
If you're happy
And we're happy together
You and I

Yes I'm happy 
And we're happy together

Now it take much to make me happy
Most times a smile from you will do
As long as I know you'll keep on loving me
I know that I'll get by
That'll see me through

So warm me up
And keep me tied
If this is how it feels to be satisfied
Cause I'm happy
And we're happy together
You and I

Yes I'm happy
And we're happy together
You and I

Yes I'm happy
And we're happy together
You and I",We Are Happy Together
B.J. Thomas,"I don't want to read the paper this morning
I don't want to hear no busy city sounds
There's so many things that's so much more important
And they're the only things worth thinkin' bout

Why don't go somewhere and love
It's been a long long time
Why don't we just go somewhere and love
And lock the world outside

Why don't we just lay down what we're doin'
We don't need a reason or a rhyme
Don't take the time to stop and think about it 
If we talk too much we might just change our mind 

So why don't we go somewhere and love
And leave it all behind
Why don't we just go somewhere and love
And stay a long long time

Why don't we go somewhere and love
And leave it all behind
Why don't we just go somewhere and love
And stay a long long time",Why Don't We Go Somewhere and Love
B.J. Thomas,"It's lonely out tonight
And the feelin' just got right for a brand new love song
Somebody done somebody wrong song

Hey, wontcha play another somebody done somebody wrong song
And make me feel at home while I miss my baby, while I miss my baby

So please play for me a sad melody
So sad that it makes everybody cry-why-why-why
A real hurtin' song about a love that's gone wrong
Cause I don't want to cry all alone

Hey, won't ya play another somebody done somebody wrong song
And make me feel at home while I miss my baby, while I miss my baby

So please play for me a sad melody
So sad that it makes everybody cry-why-why-why
A real hurtin' song about a love that's gone wrong
Cause I don't want to cry all alone

Hey, won't ya play another somebody done somebody wrong song
And make me feel at home while I miss my baby, while I miss my baby

Hey, won't ya play another somebody done somebody wrong song
And make me feel at home while I miss my baby, while I miss my baby

Hey, won't ya play another somebody done somebody wrong song
And make me feel at home while I miss my baby, while I miss my baby",(Hey Won't You Play) Another Somebody Done Somebody Wrong Song
B.J. Thomas,"City boys singing country songs
And they tell you what they've seen
City boys singing country songs
But they don't know what they mean
How can a boy from Philly tell ya
How it feels it feels to be in the arms 
Of an Oklahoma girl
And how can a New Yorker born and raised
Taste the taste of the popcorn
In an Indiana drive-in movie

City boys wearing western blue jeans
Walking down the streets
Snap down shirt
And cowboy boots
Just a shining on their feet
What good will blue jeans do ya 
If you ain't gonna roll around 
In the Mississippi mud awhile
And how will the boots come in that handy
If the dandy don't wanna walk across an Iowa cornfield
On a Sunday morning

City boys singing country songs
And they tell you what they've seen
City boys singing country songs
But they don't know what they mean
Now how can a boy from Philly tell ya
How it feels it feels to be in the arms 
Of an Oklahoma girl
And how can a New Yorker born and raised
Taste the taste of the popcorn
In an Indiana drive-in movie",City Boys
B.J. Thomas,"I was all right 
For a while
I could smile for a while
And then I saw you last night
You held my hand so tight
As you stopped to say hello
As you wished me well
You couldn't tell that
That I'd been crying

I thought that I 
Was over you
But it's true oh so true
I love you even more than I did before
But darlin' what can I do 
For you don't love me
And I'll always be
Crying 
Over you
Crying 
Over you

Yes now you're gone
And from this moment on
I'll be crying
Crying
Crying
Crying
Crying
Crying
Oh over you

I was all right 
For a while
I could smile for a while",Crying
