Band,Lyrics,Song
Sound the Alarm,"Hello again, may I help you remember
Why we're here and what we're fighting for
We've seen the best and the worst of each other
And you're relentless and you search for more

Take a minute, put your heart where your head is
Take another to collect your thoughts
Final question is this really all worth it
Or are we simply tearing this apart

Falling over once again, [Incomprehensible]

I can't tell fact from fiction, to me it's all the same
You keep creating fiction that's not enough to make me stay

Let's take a step back and do this the right way
'Cause I've been waitin' for a chance to speak
Don't get me wrong I'm not trying to lecture
I hate to argue when I'm love [Incomprehensible]

Just lately I've been having this feeling
I'm not the only name that's on your mind
Think it's best that we both go our own way
And forget about this wasted time

Falling over once again, [Incomprehensible]

I can't tell fact from fiction, to me it's all the same
You keep creating fiction that's not enough

I can't tell fact from fiction, to me it's all the same
[Incomprehensible] create some friction, I can't tell fact from fiction

I can't tell fact from fiction but you don't seem to care
Instead create some friction, that's not enough

I can't tell fact from fiction, to me it's all the same
You keep creating friction, I can't tell fact from fiction

I can't tell fact from fiction, to me it's all the same
You keep creating friction, that's not enough to make me stay",Fact or Fiction
Sound the Alarm,"Hesitate, I'm right behind you
I'll be inside you if you just break away
Give me space to work my madness
You can't deny it when it's in you're face

And I know and you don't, 'cause I know
If we could find a way
To break from these constraints

If I told you we need to improvise
Need some action, wanna feel alive
Give me a reason to unwind and if I told you
I wanna be surprised, would she even come to mind?

A great escape from all exposure
I'm feeling older but I still think the same
I've found my place, I'm in control now
I'm making progress that you can't erase

And I know and you don't, 'cause I know
If we can find a way
To break from these constraints

If I told you we need to improvise
Need some action, wanna feel alive
Give me a reason to unwind and if I told you
I wanna be surprised, would she even come to mind?

More now then ever, I'm feeling like I'm alive
More now then ever, I'm feeling like I'm alive
More now then ever, I'm feeling like I'm alive

If I told you we need to improvise
Need some action, wanna feel alive
Give me a reason to unwind and if I told you
I wanna be surprised, would she even come to mind?",If I Told You
Sound the Alarm,"If you're feeling like you need some motivation
A new way to get along
We've found a blend
To keep you safe in song

We've got it oh so concentrated
Got it moving through our bones
This connection's underrated
Never gets old

You desire
Then I'll inspire a few
To try a taste of something new

And it's making me sick
I can feel it on my left side
Creeping closer every inch

To say I'm sore would be an outrage
I'm sitting safely in my skin
I feel this free ride's headed somewhere
At least I'm hoping

You desire
Then I'll inspire a few
To try a taste of something

And I've grown tired
Waiting for your move
Give up, don't pretend
There's something left to lose

Something left to pull us through
And just float away for good
Live this life the way we should
Just go

You desire
Then I'll inspire a few
To try a taste

I've grown tired of waiting for your move
Give up, don't pretend
There's something left to lose

Give up, don't pretend
There's something left to lose
Give up, don't pretend
There's something left to lose",Something New
Sound the Alarm,"A suicide pact, a lit cigar
And a new way to sing along
In a dying culture that feeds on the blind
And waits for the lethal sickness

There's a boy out back with a gun to his chest
Like it's the only way to relieve stress
Then the culture dies and it leaves us blind
In the wake of our resistance

Boy, if you step outside
You'll never make it
The world could be a bitter place sometimes
It's better just stay inside

Boy, if you step outside
You'll never make it
The world could be a bitter place sometimes
It's better just stay inside

A case of hard facts and no one knows
Not a damn thing can be exposed
In this world of ours where we're living in hope
Despair is where we keep our wishes

Not alone or afraid, but afraid to recite
The words you hear and the wrongs you right
The world is ours but we're only in charge
Of our lives and how we live them

Boy, if you step outside
You'll never make it
The world could be a bitter place sometimes
It's better just stay inside

Boy, if you step outside
You'll never make it
The world could be a bitter place sometimes
It's better just stay inside

Today's abused
What is there for you
Just rise above the few
That lay in stone
Trying to obtain an idol to betray

Besides
There's so much on the line
Don't take a step back
Not one more step back

Boy, if you step outside
You'll never make it
The world could be a bitter place sometimes
It's better just stay inside

Boy, if you step outside
You'll never make it
The world could be a bitter place sometimes
It's better just stay inside

Boy, when you step outside
You gotta face it
The world could be a bitter place sometimes
But you're gonna be just fine, you're gonna be just fine

You're gonna be just fine
You're gonna be just fine
Boy, don't step outside
Boy, don't step outside",Stay Inside
Sound the Alarm,"In the beginning it was worth this
Do the worst, feel complete
Passing standards others meet
(What we do best)

Now, perfect endings make you anxious
Heavy head, a colder sweat
Leaving nothing here
Nothing to regret

Why am I still suffocating?
Constantly devastated just to stay alive
Why am I still suffocating?
Constantly devastated just to stay alive, oh

I miss the old days that we murdered
They're so far gone, out of reach
Watch your fate with summers heat
(Well, it goes like this)

Without a break from this distraction
I need a change
A different scene
A new approach on coming clean

Why am I still suffocating?
Constantly devastated just to stay alive
Why am I still suffocating?
Constantly devastated just to stay alive

Still searching for a back door out of here
Reassured that old friends will reappear
Why am I still suffocating?
Hold your breath deep and I'll keep waiting

Still searching for a back door out of here
Reassured that old friends will reappear
Why am I still suffocating?
Hold your breath deep and I'll keep waiting, waiting

Why am I still suffocating?
Constantly devastated just to stay alive
Why am I still suffocating?
Constantly devastated just to stay alive, oh",Suffocating
Sound the Alarm,"At a glance I'd never notice
Could every strand has come undone
And when it comes down
To what I know now, I can see just what's killing me

You can't let go of anyone
Keeping secrets and telling lies is all you've done
You can't let go of what went wrong
If keeping secrets and telling lies is all you want
Just let me go

Wash my hands off your inventions
Cleaning up the mess you've made
The web of lies you've spun, it's strangled everyone but me
'Cause now I'm breaking free

You can't let go of anyone
Keeping secrets and telling lies is all you've done
You can't let go of what went wrong
If keeping secrets and telling lies is all you want
Just let me go

I like to think that from the start
It was you that takes my head apart
You should take what you can get, yeah
Just take what you can get, yeah

I like to think that from the start
It was you that takes my head apart
You should take what you can get, yeah
Just take what you can get, yeah

Can't you let go of everyone?
All the secrets and all the lies have gone too far
Now, I let go of everyone
Keeping secrets and telling lies has gone too far
Just let me go

I like to think that from the start
It was you that takes my head apart
(Just let me go)
You should take what you can get, yeah
Just take what you can get, yeah
(Just let me go)

I like to think that from the start
It was you that takes my head apart
(Just let me go)
You should take what you can get, yeah
Just take what you can get, yeah
(Just let it go)",Telling Lies
Sound the Alarm,"Hear me completely
Enough's enough today
At last, I recognize
You're only in my way and I

I can't take anymore
You're holding onto hope, it's the same as before
So, don't you waste anymore of our time
We'll hover close to safety until we collide

Break me completely
Keep me to yourself
That way I understand
That time takes time itself and I rewind

I can't take anymore
You're holding onto hope, it's the same as before
So, don't you waste anymore of our time
We'll hover close to safety until we collide

This is a glimpse of my absolute best
This is me with nothing left to confess
Clean slate, fresh start, drive me out of control
Little changes here, I wish you'd leave it alone

This is a glimpse of my absolute best
This is me with nothing left to confess
Clean slate, fresh start, drive me out of control
Little changes here, I wish you'd leave it alone

I can't take anymore
You're holding onto hope, it's the same as before
So, don't you waste anymore of our time
We'll hover close to safety until we collide

Until we collide
(So, don't you waste anymore of our time)
Until we collide
(We'll hover close to safety)
Until we collide",Until We Collide
Sound the Alarm,"Left of center has never felt better
As far as I can forget
I would rather sit under the weather
Then on top, where I've never been

Let's take a moment to reflect
On those reflections we regret
You'll be surprised to find
No, we can't admit we've lost our minds

Picture perfect
Yeah, just what I needed
Me, I found my focus
You're still afraid to feel it

Picture perfect
Yeah, just what I needed
Me, I found my focus
You're still afraid to feel it

A contender, a classic pretender
I feel strangely content
To surrender what holds me together
Or at least I thought it did

Let's take a moment to forget
All limitations we accept
And those we can't deny
We're not all foolproof, no, not quite

Picture perfect
Yeah, just what I needed
Me, I found my focus
You're still afraid to feel it

Picture perfect
Yeah, just what I needed
Me, I found my focus
You're still afraid to feel it

Picture, picture

Worried, not at all
I feel a new rush of confidence
Write it on the wall
Know one and all will see the end of this

Picture perfect
Yeah, just what I needed
Me, I found my focus
You're still afraid to feel it

Picture perfect
Yeah, just what I needed
Me, I found my focus
You're still afraid to feel it

Picture
You're still afraid to feel it
Picture
You're still afraid to feel it",Picture Perfect
Soundalikes,"We both know that I shouldn't be here
This is wrong
And, baby, it's killing me, it's killing you
Both of us tryin' to be strong
I've got somewhere else to be
Promises to keep
And someone else who loves me
And trusts me fast asleep
I've made up my mind
There is no turning back
She's been good to me
And she deserves better than that 

It's the hardest thing I'll ever have to do
To look you in the eye and tell you I don't love you
It's the hardest thing I'll ever have to lie
To show no emotion when you start to cry
I can't let you see what you mean to me
When my hands are tied and my heart's not free
We're not meant to be
It's the hardest thing I'll ever have to do
To turn around and walk away
Pretending I don't love you 

I know that we'll meet again
Fate has a place and time
So you can get on with your life
I've got to be cruel to be kind
Like Dr. Zhivago
All my love I'll be sending
And you will never know
'Cause there can be no happy ending 

It's the hardest thing I'll ever have to do
To look you in the eye and tell you I don't love you
It's the hardest thing I'll ever have to lie
To show no emotion when you start to cry
I can't let you see what you mean to me
When my hands are tied and my heart's not free
We're not meant to be
It's the hardest thing I'll ever have to do
To turn around and walk away
Pretending I don't love you

Maybe another time, another day
As much as I want to, I can't stay
I've made up my mind
There is no turning back
She's been good to me
And she deserves better than that

It's the hardest thing I'll ever have to do
To look you in the eye and tell you I don't love you
It's the hardest thing I'll ever have to lie
To show no emotion when you start to cry
I can't let you see what you mean to me
When my hands are tied and my heart's not free
We're not meant to be
It's the hardest thing I'll ever have to do
To turn around and walk away
Pretending I don't love you

Don't wanna live a lie 
What can I do
What to do",The Hardest Thing
Soundalikes,"In a church, by the face
He talks about the people going under

Only child know

A man decides after seventy years
That what he goes there for, is to unlock the door
While those around him criticize and sleep
And through a fractal on a breaking wall
I see you my friend, and touch your face again
Miracles will happen as we trip

But we're never gonna survive, unless
We get a little crazy
No we're never gonna survive, unless
We are a little crazy

Crazy yellow people walking through my head
One of them's got a gun, to shoot the other one
And yet together they were friends at school
Ohh, get it, get it, get it, get it no no

If all were there when we first took the pill
Then maybe, then maybe, then maybe, then maybe
Miracles will happen as we speak

But we're never gonna survive unless
We get a little crazy
No we're never gonna survive unless
We are a little crazy
No no, never survive, unless we get a little bit

Oh, a little bit
Oh, a little bit

Oh
Oh

Amanda decides to go along after seventeen years

Oh darlin'
In a sky full of people, only some want to fly
Isn't that crazy
In a world full of people, only some want to fly
Isn't that crazy, crazy
In a heaven of people there's only some want to fly
Ain't that crazy
Oh babe, oh darlin'
In a world full of people there's only some want to fly
Isn't that crazy, isn't that crazy, isn't that crazy, isn't that crazy

But were never gonna survive unless, we get a little crazy
No were never gonna to survive unless we are a little
But were never gonna survive unless, we get a little crazy
No were never gonna to survive unless, we are a little, crazy
No no, never survive unless, we get a little bit

And then you see things
The size of which youve never known before

They'll break it

Someday, only child know

Them things
The size of which youve never known before

Someday...
Someway...
Someday...
Someway...
Someday...
Someway...
Someday...",(You Drive Me) Crazy
Soundalikes,"Dear lie
You suck
You said you could fix anything
Instead I'm fucked
You made things even worse for me
If I had balls I'd tell you get away from me
Guess I'm not smart
I let you unnerve me
I let you control me
Afraid the truth would hurt me
When it's you that hurts me more

Get outta my mouth
Get outta my head
Get outta my mind
Stop puttin' words in my head
Get outta my mouth
You're nothing but trouble
Get outta my life
Get out of me
Out of me (out of me)
Out of me
Out of me lie
Lie lie lie lie

Dear lie
You're dumb
You think you've got the best of me
You think you won
Misread my vulnerability
I've got your walls
Now get the hell away from me
I've learned your art
Won't let you unnerve me
Won't let you control me
The truth will only free me
And your lies won't hurt no
No more

Get outta my mouth
Get outta my head
Get outta my mind
Stop puttin' words in my head
Get outta my mouth
You're nothing but trouble
Get outta my life
Get out of me
Out of me (out of me)
Out of me
Out of me lie
Lie lie lie lie

Lie lie
I've got
Your walls
Now get the hell away from me
I learned your art
Won't let you unnerve me
Wont' let you control me
The truth will only free me
And your lies won't hurt no
No more

Get outta my mouth
Get outta my head
Get outta my mind
Stop puttin' words in my head
Get outta my mouth
You're nothing but trouble
Get outta my life
Get out of me
Out of me (out of me)
Out of me
Out of me lie
Lie lie lie lie

Lie lie
Dear lie
Lie Lie Lie Lie
Lie Lie
Dear lie",Dear Lie
Soundalikes,"Games, changes and fears
When will they go from here
When will they stop
I believe that fate has brought us here
And we should be together babe
But we're not
I play it off, but I'm dreaming of you
And I'll keep my cool, but I'm fiendin'

[Chorus]
I try to say goodbye and I choke
Try to walk away and I stumble
Though I try to hide it, it's clear
My world crumbles when you are not here
Goodbye and I choke
I try to walk away and I stumble
Though I try to hide it, it's clear
My world crumbles when you are not here

I may appear to be free
But I'm just a prisoner of your love
And I may seem all right and smile when you leave
But my smiles are just a front
Just a front, hey
I play it off, but I'm dreaming of you
And I'll try to keep my cool, but I'm fiendin'

[Chorus]

Here is my confession
May I be your possession
Boy, I need your touch
Your love, kisses and such
With all my might I try
But this I can't deny
Deny

I play it off, but I'm dreaming of you
(but I'm dreaming of you babe)
And I'll keep my cool, but I'm fiendin'

[Chorus]",I Try
Soundalikes,"You set my soul at ease
Chased darkness out of view
Left your desperate spell on me
Say you feel it too I know you do
I've got so much more to give
This can't die, I yearn to live
Pour yourself all over me
And I'll cherish every drop here on my knees

I wanna love you forever
And this is all I'm asking of you
10,000 lifetimes together
Is that so much for you to do
'Cause from the moment that I saw your face
And felt the fire of your sweet embrace
I swear I knew
I wanna love you forever

My mind fails to understand
What my heart tells me to do
And I'd give up all I have just to be with you
And that would do
I've always been taught to win
And I never thought I'd fail
Be at the mercy of a man,
I've never been
Now I only want to be right where you are

I wanna love you forever
And this is all I'm asking of you
10,000 lifetimes together
Is that so much for you to do
'Cause from the moment that I saw your face
And felt the fire of your sweet embrace
I swear I knew
I wanna love you forever

In my life I've learned that heaven never waits
Let's take this now before it's gone
Like yesterday
'Cause when I'm with you there's nowhere else
That I would ever wanna be no
I'm breathing for the next second I can feel you
Loving me, I'm gonna Love

I wanna love you forever
And this is all I'm asking of you
10,000 lifetimes together
Is that so much for you to do
'Cause from the moment that I saw your face
And felt the fire of your sweet embrace
I swear I knew
I wanna love you forever",I Wanna Love You Forever
