Band,Lyrics,Song
Gottfried Boettger,"It was the third of June, another sleepy, dusty Delta day
I was out choppin' cotton and my brother was balin' hay
And at dinner time we stopped and walked back to the house to eat
And Mama hollered out the back door ""y'all remember to wipe your feet""
And then she said ""I got some news this mornin' from Choctaw Ridge""
""Today Billy Joe MacAllister jumped off the Tallahatchie Bridge""

'n' Papa said to Mama as he passed around the blackeyed peas
""Well Billy Joe never had a lick of sense, pass the biscuits, please""
""There's five more acres in the lower forty I've got to plow""
'n' Mama said it was shame about Billy Joe, anyhow
Seems like nothin' ever comes to no good up on Choctaw Ridge
And now Billy Joe MacAllister's jumped off the Tallahatchie Bridge

'n' Brother said he recollected when he and Tom and Billie Joe
Put a frog down my back at the Carroll County picture show
And wasn't I talkin' to him after church last Sunday night?
""I'll have another piece-a apple pie, you know it don't seem right""
""I saw him at the sawmill yesterday on Choctaw Ridge""
""And now ya tell me Billie Joe's jumped off the Tallahatchie Bridge""

'n' Mama said to me ""Child, what's happened to your appetite?""
""I've been cookin' all morning and you haven't touched a single bite""
""That nice young preacher, Brother Taylor, dropped by today""
""Said he'd be pleased to have dinner on Sunday, oh, by the way""
""He said he saw a girl that looked a lot like you up on Choctaw Ridge""
""And she and Billy Joe was throwing somethin' off the Tallahatchie Bridge""

A year has come 'n' gone since we heard the news 'bout Billy Joe
'n' Brother married Becky Thompson, they bought a store in Tupelo
There was a virus going 'round, Papa caught it and he died last Spring
And now Mama doesn't seem to wanna do much of anything
And me, I spend a lot of time pickin' flowers up on Choctaw Ridge
And drop them into the muddy water off the Tallahatchie Bridge",Ode to Billy Joe
Gottfried Bottger,"I hate to see that evening sun go down
I hate to see that evening sun go down
Cause my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her, if it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis blues, blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint 'n rye
I love my man till the day I die",St. Louis Blues
Gotthard,"I need a woman, that holds on
That gives me time to think it over
Time for movin' on
That's all I want, right now, by me

I wanna meet a real heart, a true one
Too many words, too many lies
Bring confusion in my mind
I gotta break out
'cause I can't stand it anymore, no more

More that I want, more that I need
More that I want, more that I bleed
Can anybody find me an

Angel , angel, I'm crying out for you tonight
Oh angel, are you there or in my mind
I want you to believe me, please take me there

Sometimes I dream, and I wish to have
A little hand to carry me
Far away from what I see
If I only could have you, right now, by me

I wanna face a real world, a true one
Too many words, too many lies
Bring confusions in my mind
I gotta break out
'Cause I can't stand it anymore, no more

More that I want, more that I need
More that I want, more that I bleed
Can anybody find me an

Angel, angel, I'm crying out for you tonight
Oh angel, are you there or in my mind
I want you to believe me,... right now

Angel on my mind, oh
You're so hard to find",Angel
Gotthard,"Well I'm driving down a highway
Like so many times before
While listening to the music, loud and proud
I'm movin' on

Every time it's the same
I hear you callin' my name, my name
I've been away for too long
Can't wait to see you again
Oh, you know I miss you

Downtown, downtown
It's always the same
Downtown, downtown

I hear the sound of every heartbeat
When the night is comin' down, down
I know exactly the place
Where all my friends are goin' to be
It's easy to see

Every time it's the same
I know, you're callin' my name, my name
I've been away for too long
Can't wait to see you again
Oh, you know I miss you

Downtown, downtown
It's always the same
Downtown, downtown, right!",Downtown
Gotthard,"Once again I start to wonder
Sailing thoughts on endless sea
Might be you I see reflected, from afar
Could be just my fantasy

All my love, and emotion
Life is nothing without you
Like a drop finds the ocean
I'm gonna find my way to you

Low thunder rollin'
Take me away, away
There's something callin'
Askin' me to play

Firedance, it's a firedance
Firedance, just a firedance, oh yeah

I'm the wind against the mountains
I'm the fire deep inside
I feel the magic, the rhythm is my soul
I no longer have to hide

Join me now, come on over
There's a place right here for you
Seize the moment and discover
All the things you always knew",Firedance
Gotthard,"Baby, is it right to fantasize
I said lady, I can't get this out of my mind
Yes I'm smoking I'm burning
I'm twisting I'm turning

Got to give a lot of love
Woman I'm learning
Baby, you let me run all night
And I can't stand it no more

I get down, I get down, on my knees
And you know, yes you know,
How it feels

I'm walking in the streets
And nobody cares for me
They keep on telling me
Nothing in this world's for free

My heart is on fire, right out of space
Such a killer body, with a little girl's face
Lady, is if right to fantasize..... oh yeah!

I get down, I get down, on my knees
And you know, yes you know,
How to tease, baby.....

Let's rock tonight

I get down, I get down, on my knees
And you know, yes you know
How to tease....",Get Down
Gotthard,"Trying to hide from every shadow
Scared from every noise that's comin' through
Got a 24 hour run
You know, I'm still around
Hunting you

Bad places, dark faces
Keep on runnin' for your life

'Cause I'm the hunter
I'm the hunter
I'm the hunter an eagle in the sky
I'm the hunter
I'm the hunter
I'm the hunter nowhere you can hide
Nowhere you can hide

Don't try to answer the phone
Beware of any stranger at your door
There's no way to imagine
Where it's coming from
Better hit the floor, yeah!",Hunter
Gotthard,"I got a certain little girl,
That's on my mind
No doubt about it,
She look so fine
She's the best girl that I've ever had
Sometimes for sure make me feel so bad

Na, na, na...... 

Hush, hush, I thought I heard callin'my name now
Hush, hush, she broke my heart
But I love her just the same now
Hush, hush, I thought I heard callin' my name now
Hush, hush, I need her love and I'm now not
To blame now

I've got her early in the morning
I've got her late in the evening
Oh, I wanna never need it now
Oh, gotta, gotta have it
Gotta have it now

She's got lovin' like quick sand
Only took one touch of her hand
Blow my mind and I meant so deep
I can't eat all
I can't sleep

Na, na, na......

Hush, hush, I thought I heard callin' my name now
Hush, hush, she broke my heart
But I lover her just the same now
Hush, hush, I thought I heard callin' my name now
Hush, hush, I need her love and I'm now not
To blame now",Hush
Gotthard,"He came walking through fire
I saw him walk on water too
A kind of living wire he's not like me and you, yeah, true

You can't demand reaction
He just holds the line
To get his satisfaction,
It's only a matter of time
A matter of time

No more, lonely figures in the night
Gotta find a way to break out free, yeah!
Why don't you

Take me, take me, take me to the wall of the big emotion
Take me, take me so I can see
The mirrors of destiny

He just gotta snap his fingers
And everything's just there around
Be careful, never hide
The sun before his eyes, before his eyes

No more lonely creatures in the night
Gotta find a way to break out free, yeah!
Why don't you",Take Me
Gotthard,"Here comes old flat top he come
Grooving up slowly he got
Joo joo eye ball he one
Holy roller he got
Hair down to his knees
Got to be a joker
He just do what he please

He wear no shoe shine he got
Toe jam football he got
Monkey finger he shoot
Coca cola he say
I know you, you know me
One thing I can tell you
Is you got to be free

Come together, right now
Over me

He bag production, he got
Walrus gumboat, he got
Ono sideboard, he one
Spinal cracker, he got
Feet down below his knees
Hold you in his armchair
You can feel his disease

Come together, right now
Over me

He roller coaster, he got
Early warning, he got
Muddy waters, he one
Mojo filter, he say
One and one and one is three
Got to be good looking
Cause it's so hard to see

Come together, right now
Over me",Come Together
Gotthard,"Alright, now it's up to you
There's a rocking storm
Coming over you
Alright let's go

We've got the last call
And we're ready to go
Lights are burning
For another show tonight
It just feels alright

Shoulder to shoulder
Scream n' shout
We got what you need
A whole lotta dynamite
It just feels alright

It's now or it's never
Gonna make it last forever
It's really close to overload

We'll take you higher
More n' more
We'll take you higher
Than before

It's a journey to the eye of the storm
Hot vibrations coming one by one
Party's just begun
High speed running goes hundred and two
Power train rockin' all over you
Nothing  you can do

Higher, higher, higher
We'll take you higher
Than ever before
Dig it",Higher
Gotthard,"Move on closer, near by my side
Let me take you for a while
Did what I had to, but it's still a long way
Hope you'll remember me
Each n' every day

Out on this long trail
Back on dusty roads, ridin' slow
Through the darkest of the nights, alone

I'm on my way,
I'm on my way,
I'm on my way, and I'll be there one day
Yeah, yeah

Another evening, I'm still in bed
Wheels are turning round n' round
Dancing with shadows,
Talking in the sleep
While the miles are passing away

Lights in the window
Lights in my head, riding slow
On the highway once again

I'm on my way,
I'm on my way,
I'm on my way, I got one place to stay

The place is getting empty
Roadies take the stage
The first to come, the last to go
Still wanna sing, still wanna play
Before I leave it all behind

Move on closer, near by my side
Let me take you for a while ....
Did what I had to, but it's still a long way
Hope you'll remember me
Each n' every day",I'm On My Way
Gotthard,"The road is long
With the many winding turns
That leads us to 
Who knows where?

But I'm strong.
Strong enough to carry him.
He ain't heavy, he's my brother.
So on we go.

His welfare is my concern.
No burden is his to bear.
We'll get there.
For I know

He would not encumber me.
He ain't heavy, he's my brother
If I'm laden at all,
I'm laden with the sadness

That everyone's heart isn't filled
With the gladness of love for one another.
It's a long, long road
From which there is no return.

While we're on our way to there,
Why not share?
And the load doesn't weigh me down at all.
He ain't heavy, he's my brother.","He Ain't Heavy, He's My Brother"
Gotthard,"Don't know who's to blame
Don't know who was wrong
Love has died too soon
After all had just begun
Something in your eyes
Tells me you still care
Oh baby i swear

Deep inside my heart
Deep inside my soul
Something tells me no, I can't let you go
Saw it in your eyes
Last time when we met
I will never forget

How can you say
Our love is gonna last forever
How can you go
With this empty broken heart
Of mine

Let it be, let it be
Love's like a gun on me
Let it be, let it be
Like a bag of broken glass
I was killed in the name of love

You never see it coming
Doesn't tell you when it goes
Think it's getting near
Suddenly it's gone
Dirty little game
Don't even know your name
You just wouldn't say

Did you ever worried
Asking maybe please
Knew you couldn't take it
I would get on my knees
Searching for way out
But there ain't no doubt
It's like going blind

Get down on my knees for you

How can you say
You love me but it's better
This way
If you don't need it anymore
I'm drowning down like
Never before",Let It Be
Gotthard,"So you're telling me nowall your friends call you honey
There's your name on the wall
And it ain't that funny
Guess you're on the street
Shakin' legs every night
And the whole world's looking at you
Kinda love at first bite
And the same old song
I hear you play
On and on, again
You gotta make my day
Yeah, you drank all my wineN' you gave all my money away
No more gas in the carand your dog wants me to stay
Darling you know you go a little too far
But I'm sure not a pawn onyour chessboard
Baby, no more
Well; you take it all for granted
You got me hypnotised
So who do you think you are; honey
I want you to make my day
Don't need no pretty liesRead my lips
Make my day
",Make My Day
