Band,Lyrics,Song
Hot Snakes,"His embrace a fortress
Carries me, and places
A skeleton of trust
Right beneath us
Bone by bone
Rock by rock

If you ask yourself patiently
Who is it, who is it, who is it ?

Who is it
That never lets you down?
Who is it
That gave you back your crown?
The ornaments are
They're goin' around
And they're handin' it over, handin' it over

Who is it
That never lets you down?
Who is it
That gave you back your crown?
The ornaments are
They're goin' around
And they're handin' it over, handin' it over

We all have been to the still place [???]
We all have learned the lightness
I carry my pain on my right
But I carry my joy on my left

If you ask yourself patiently
Who is it , who is it , who is it ?

Who is it
That never lets you down?
Who is it
That gave you back your crown?
The ornaments are
They're goin around
And they're handin' it over, handin' it over

Who is it
That never lets you down?
Who is it
That gave you back your crown?
The ornaments are
They're goin around
And they're handin' it over, handin' it over, handin' it over",Braintrust
Hot Soup,"Are you going away with no word of farewell
Will there be not a trace left behind
Well, I could have loved you better, didn't mean to be unkind
You know that was the last thing on my mind

It's a lesson too late for the learnin'
Made of sand, made of sand
In the wink of an eye my soul is turnin'
In your hand, in your hand

Are you going away with no word of farewell
Will there be not a trace left behind
Well, I could have loved you better, didn't mean to be unkind
You know that was the last thing on my mind

You've got reasons a-plenty for goin'
This I know, this I know
For the weeds have been steadily growin'
Please don't go, please don't go

Are you going away with no word of farewell
Will there be not a trace left behind
Well, I could have loved you better, didn't mean to be unkind
You know that was the last thing on my mind

As I lie in my bed in the mornin'
Without you, without you
Each song in my breast lies a burnin'
Without you, without you

Are you going away with no word of farewell
Will there be not a trace left behind
Well, I could have loved you better, didn't mean to be unkind
You know that was the last thing on my mind

Are you going away with no word of farewell
Will there be not a trace left behind
Well, I could have loved you better, didn't mean to be unkind
You know that was the last thing on my mind
That was the last thing on my mind

",(Don't Know What Was) the Last Thing on My Mind
Hot Soup,"It must have been moonglow, way up in the blue
It must have been moonglow that led me straight to you
I still hear you sayin', ""Dear one, hold me fast""
And I keep on prayin', ""Oh Lord, please let this last""

We seemed to float right through the air
Heavenly songs seemed to come from everywhere

And now when there's moonglow, way up in the blue
I'll always remember, that moonglow gave me you

It must have been moonglow, way up in the blue
It must have been moonglow that led me straight to you
I still hear you sayin', ""Sweet child, hold me fast""
And I keep on prayin', ""Oh Lord, please let this last""

We seemed to float right through the air
Heavenly songs seemed to come from everywhere

And now when there's moonglow, way up in the blue
I'll always remember, that moonglow gave me you",Moonglow
Hot Stove Jimmy,"I've got sunshine on a cloudy day
When it's cold outside I've got the month of May
I guess you'd say
What can make me feel this way?
My girl (my girl, my girl)
Talkin' 'bout my girl (my girl)

I've got so much honey the bees envy me
I've got a sweeter song than the birds in the trees
I guess you'd say
What can make me feel this way?
My girl (my girl, my girl)
Talkin' 'bout my girl (my girl)

Hey hey hey
Hey hey hey
Ooh

I don't need no money, fortune, or fame
I've got all the riches baby one man can claim
I guess you'd say
What can make me feel this way?
My girl (my girl, my girl)
Talkin' 'bout my girl (my girl)

I've got sunshine on a cloudy day
With my girl

I've even got the month of May
With my girl",My Girl
Hot Strings,"You went away
I let you
We broke the ties that bind
I wanted to forget you
And leave the past behind
Still, the magic of the night I met you
Seems to stay forever in my mind

The sky was blue
And high above
The moon was new
And so was love
This eager heart of mine was singing
Lover where can you be

You came at last
Love had its day
That day is past
You've gone away
This aching heart of mine is singing
Lover come back to me
When I remember every little thing

You used to do
I'm so lonely
Every road I walk along
I walk along with you
No wonder I am lonely

The sky is blue
The night is cold
The moon is new
But love is old
And while I'm waiting here
This heart of mine is singing
Lover come back to me
When I remember every little thing

You used to do
I grow lonely
Every road I walk along
I walk along with you
No wonder I am lonely

The sky is blue
The  night is cold
The moon is new
But love is old
And while I'm waiting here
This heart of mine is singing
Lover come back to me","Lover, Come Back to Me"
Hot Strings,"I hate to see that evening sun go down
I hate to see that evening sun go down
Cause my baby, he's gone left this town

Feelin' tomorrow like I feel today
If I'm feelin' tomorrow like I feel today
I'll pack my truck and make my give-a-way

St. Louis woman with her diamond ring
Pulls that man around by her, if it wasn't for her and her
That man I love would have gone nowhere, nowhere

I got the St. Louis blues, blues as I can be
That man's got a heart like a rock cast in the sea
Or else he wouldn't have gone so far from me

I love my baby like a school boy loves his pie
Like a Kentucky colonel loves his mint 'n rye
I love my man till the day I die",St. Louis Blues
Hot Strings,"Listen to my tale of woe, 
It's terribly sad but true, 
All dressed up, no place to go 
Each evening I'm awfully blue. 

I must win some handsome guy 
Can't go on like this, 
I could blossom out I know, 
With somebody just like you. So

Oh, sweet and lovely lady, be good 
Oh, lady, be good to me 
I am so awfully misunderstood 
So lady, be good to me 
Oh, please have some pity 
I'm all-alone in this big city 
I tell you I'm just a lonesome babe in the wood, 
So lady be good to me. 

Oh, please have some pity 
I'm all alone in this big city 
I tell you I'm just a lonesome babe in the wood, 
So lady be good to me. 
Oh lady be good to me.","Oh, Lady Be Good"
Hot Strings,"Gee, but it's tough to be broke, kid.
It's not a joke, kid, it's a curse.
My luck is changing, it's gotten from 
simply rotten to something worse
Who knows, some day I will win too. 
I'll begin to reach my prime.

Now though I see what our end is,
All I can spend is just my time.

I can't give you anything but love, baby.
That's the only thing I've plenty of,baby.

Dream awhile, scheme awhile
We're sure to find

Happiness and I guess
All those things you've always pined for.

Gee I'd like to see you looking swell, baby.
Diamond bracelets Woolworth doesn't sell, baby.

Till that lucky day you know darned well, baby.
I can't give you anything but love.

Rome wasn't built in a day, kid.
You have to pay, kid, for what you get.
But I am willing to wait, dear, 
Your little mate, dear, will not forget.

You have a lifetime before you.
I'll adore you, come what may.

Please don't be blue for the present, 
When it's so pleasant to hear you say

I can't give you anything but love, baby.
That's the only thing I've plenty of,baby.

Dream awhile, scheme awhile
We're sure to find

Happiness and I guess
All those things you've always pined for.

Gee I'd like to see you looking swell, baby.
Diamond bracelets Woolworth doesn't sell, baby.

Till that lucky day you know darned well, baby.
I can't give you anything but love.",I Can't Give You Anything But Love
Hot Strings,"You'd be so nice to come home to
You'd be so nice by the fire
While the breeze on high sang a lullaby
You'd be all that I could desire

Under stars chilled by the winter
Under an August moon burning above
You'd be so nice, you'd be paradise
To come home to and love

Under stars chilled by the winter
Under an August moon burning above
You'd be so nice, you'd be paradise
To come home to and love",You'd Be So Nice to Come Home To
Hot Tuna,"I know you rider gonna miss me when I'm gone
I know you rider gonna miss me when I'm gone
Gonna miss your baby from rollin' in your arms

Sun's gonna shine on my back door some day
Sun's gonna shine on my back door some day
And the wind's gonna rise up and blow my blues away

I wish I was a headlight on a northbound train
I wish I was a headlight on a northbound train
I'd shine my headlight through the cool Colorado rain

Lovin' you baby's 'bout as easy as rollin' off a log
Lovin' you baby's 'bout as easy as rollin' off a log
I'll be your daddy but I just won't be your dog",Know You Rider
