Band,Lyrics,Song
Ida McBeth,"Like a fool I went and stayed too long
Now I'm wondering if your love's still strong
Oo, baby, here I am, signed, sealed, delivered, I'm yours!

Then that time I went and said goodbye
Now I'm back and not ashamed to cry
Oo, baby, here I am, signed, sealed, delivered, I'm yours!

Here I am baby
Signed, sealed, delivered, I'm yours
(You got my future in your hands)

Here I am baby
Signed, sealed, delivered, I'm yours
(You got my future in your hands)

I've done a lot of foolish things
That I really didn't mean, didn't I?
Seen a lot of things in this old world
When I touch them, they mean nothing, girl
Oo, baby, here I am, signed, sealed, delivered, I'm yours!
Oowee baby, you set my soul on fire
That's why I know you're my heart's only desire

Here I am baby
Signed, sealed, delivered, I'm yours
(You got my future in your hands)

Here I am baby
Signed, sealed, delivered, I'm yours
(You got my future in your hands)","Signed, Sealed, Delivered"
Ida Sand,"Chewing on a piece of grass
Walking down the road
Tell me, how long you gonna stay here Joe?
Some people say this town don't look 
Good in snow
You don't care, I know

Ventura Highway in the sunshine
Where the days are longer 
The nights are stronger
Than moonshine 
You're gonna go I know

'Cause the free wind is blowin' through
Your hair
And the days surround your daylight 
There
Seasons crying no despair
Alligator lizards in the air

Wishin' on a falling star
Watchin' for the early train
Sorry boy, but I've been hit by
Purple rain
Aw, come on Joe, you can always
Change your name 
Thanks a lot son, just the same

Ventura Highway
Where the days are longer 
The nights are stronger
Than moonshine 
You're gonna go I know

'Cause the free wind is blowin' through
Your hair
And the days surround you daylight 
There
Seasons crying no despair
Alligator lizards in the air",Ventura Highway
Ida Viper,"Many months have come and gone 
Since I wondered from my home
In the Oklahoma hills where I was born
Many page in life has turned
Many lessons I have learned
Yet I feel that in those hills I still belong

Way down yonder in the Indian nation
I'd ride my pony on the reservation
In the Oklahoma hills where I was born
Way down yonder in the Indian nation
A cowboys life was my occupation
In the Oklahoma hills where I was born

As I'm standing here today 
I am many miles away
From the place I rode my pony through the draw
Where the oak and blackjack trees 
Kiss the playful prairie breeze
In the Oklahoma hills where I was born
chorus

As in life I turn a page 
To the land of the ole sage
In the Oklahoma hills where I was born
Where the black oil rolls and flows
And the snow white cotton grows
In the Oklahoma hills where I was born",Oklahoma Hills
Ida Viper,"Please don't talk about me when I'm gone
Honey, though our friendship ceases from now on
And if you can't say anything uptight
It's better not to talk at all, is my advice

We're parting, you'll go your way, I'll go mine
I have just this to do
Give a little kiss and hope that it brings
Lots of love to you
Makes no difference how Jerry carries on (but I'll make it, baby!)
Please don't talk about me when I'm gone

Please don't talk about me, honey, when I'm gone
Though our friendship ceases from now on
And if you can't say anything real nice
You better not talk at all, is Jerry's advice

We're parting, you'll go your way, I'll go mine
I have just this to do
Here's a little kiss, I hope it brings
Lots and lots of love to you
Makes no difference how I carry on
Please don't talk about me
Please don't talk about me
Please don't talk about me
Please don't talk about me
Please don't talk about me
Please don't talk about me, honey
Please don't talk about me when I'm gone",Please Don't Talk About Me When I'm Gone
Ida Viper,"Oh give me land, lots of land, and the starry skies above
Don't fence me in
Let me ride through the wide open country that I love
Don't fence me in

Let me be by myself in the evening breeze
And listen to the murmur of the cottonwood trees
Send me off forever but I ask you please
Don't fence me in

Just turn me loose, let me straddle my old saddle on
Underneath the western skies
On my cayuse, let me wander over yonder
Till I see the mountains rise

I want to ride to the ridge where the West commences
To many words, gaze at the moon till I lose my senses
And I can't look at hobbles and I can't stand fences
Don't fence me in

Oh give me land, lots of land, and the starry skies above
Don't fence me in
Let me ride through the wide open country that I love
Don't fence me in

Let me be by myself in the evening breeze
And listen to the murmur of the cottonwood trees
Send me off forever but I ask you please
Don't fence me in

Just turn me loose, let me straddle my old saddle on
Underneath the western skies
On my cayuse, let me wander over yonder
Till I see the mountains rise

I want to ride to the ridge where the West commences
Gaze at the moon till I lose my senses
And I can't look at hobbles and I can't stand fences
Don't fence me in

No, Papa, don't you fence me in",Don't Fence Me In
Ida Viper,"My window faces the South
I'm almost halfway to heaven
Snow is falling, still I can see 
Fields of cotton calling to me
My window faces the South, 
And though I am far from the Swanee
I'm never frownin' or down in the mouth
My window faces the South

My window faces the South, 
I'm almost halfway to heaven
Snow is falling, still I can see 
Fields of cotton calling to me
My window faces the South
Though I am far from the Swanee
I'm never frownin' or down in the mouth
My window faces the South

My window faces the South
My window faces the South",My Window Faces the South
Ide,"[Female Voice]
Where are you, guys?
You're like never at home
Or you're not in the city or something, but...
Call me! This is Kerra, 818-?!?-0333
I'm tired of you
Somebody pick up the phone and call my number, Bye! 

(Machne) 
Message saved 

(Ideal) 
Baby, you keep calling me
Is it 'cause we got what you need?
Baby, why you keep calling me?
Are you trying to get the recipe?

Do you want to get with Swab?
Do you want to get with J-Dant'e?
Do you want to get with Mav'?
want to get at PZ? 

(Male Voice) 
Hello 

(Female Voice) 
Hello, may I please speak to one of the members of Ideal? 

(Ideal) 
Girl, you keep calling
Trying to get the recipe
To fulfill your fantasies
We got just what you need
Just add a little Mav' and a pinch of PZ
Factor in some Swab and a shot of J-D

You keep calling me 
Trying to get the recipe
'Cause we got just what you need

To fulfill your fantasies
Baby, you keep calling me
Is it 'cause we got what you need?
Baby, why you keep calling me?
Are you trying to get the recipe?

Do you want to get with Swab?
Do you want to get with J-Dant'e?
Do you want to get with Mav'?
want to get at PZ?",Intro
Ideal,"Yeah, Ideal
Y2 Kay Gee and R.L. collabo
Uh-oh make 'em, make 'em
Make 'em dance to this
Uh yeah Ideal come on
Make 'em, make 'em
Make 'em dance to this
Let's go

Whatever you wanna do, uh-huh
Whether it's at the crib or club
It's all up to you, what? What?
Whatever you wanna do
So you wanna groove, uh-huh
Show me how you move, uh-huh
What'cha gonna do? What? What?
Cause I wanna rock with you
Whatever you wanna do

Tonight you're with me
I'm talking VIP
Cristal, Moet, Don P tonight, oh
Nice suite at the Double Tree
You and me in between the sheets
It's whatever you like baby, tell me

I like when you move up close to me
Sexy grinding holding me
Real close cause you're supposed to be, baby
Ideal-
I like it when you put that thing on me
Pushin' it up against the jeans
Makin' it harder in between, baby

Whatever you wanna do, uh-huh
Whether it's at the crib or club
It's all up to you, what? What?
Whatever you wanna do
So you wanna groove, uh-huh
Show me how you move, uh-huh
What'cha gonna do? What? What?
Cause I wanna rock with you
Whatever you wanna do

Tonight I just got paid
Let's hop in the Escalade
Go out on an escapade
Tonight, alright
What sip you choose?
I'll grab your hips and move
And do whatever you like, tell me, tell me

I like when you move up close to me
Sexy grinding holding me
Real close cause you're supposed to be, baby
Ideal-
I like it when you put that thing on me
Pushin' it up against the jeans
Makin' it harder in between, baby

Whatever you wanna do, uh-huh
Whether it's at the crib or club
It's all up to you, what? What?
Whatever you wanna do
So you wanna groove, uh-huh
Show me how you move, uh-huh
What'cha gonna do? What? What?
Cause I wanna rock with you
Whatever you wanna do

You can choose the place we go
Or stay home with the stereo
You choose the scenario
Tonight your situation
Here's your invitation
Come with me
Whatever you wanna do

Make 'em, make 'em
Make 'em dance to this
Uh yeah Ideal come on
Make 'em, make 'em
Make 'em dance to this
Uh yeah uh-oh
Make 'em, make 'em
Make 'em dance to this
Uh yeah Ideal come on
Make 'em, make 'em
Make 'em dance to this
(Come and go with me oh)

Whatever you wanna do, uh-huh
Whether it's at the crib or club
It's all up to you, what? What?
Whatever you wanna do
So you wanna groove, uh-huh
Show me how you move, uh-huh
What'cha gonna do? What? What?
Cause I wanna rock with you
Whatever you wanna do

Come on show me how you move
Baby let me see you groove
We can do what you want to
Tonight
You can move across to me

You can say come on mami
You can say come on papi
Tonight, whatever you wanna do

Whatever you wanna do, uh-huh
Whether it's at the crib or club
It's all up to you, what? What?
Whatever you wanna do
So you wanna groove, uh-huh
Show me how you move, uh-huh
What'cha gonna do? What? What?
Cause I wanna rock with you
Whatever you wanna do",Whatever
Ideal,"
 

[Intro] 
Oh  oh yeah 
It's all about you 
It's all about me 
Baby  baby 
Oh  yeah  yeah  yeah 

1   It's all about you 
It's all about me 
It's all about us 
I got what you need 
You've got what I want 
I got what you need 
It's all about you 
It's all about me 

Sweet and loving 
Is what you are to me 
Life has more meaning 
You're everything I need 
My runaround days are over 
It's time for me to settle down 
With a special girl like you 
I don't need to fool around 

Repeat 1 

Something tells me 
That you're mad at me 
Oh, what could it possibly be 
Girl can't you see 
There's nothing I would do 
To make you leave 
Girl there's a promise to you 
You sure 'nuff can believe it 
Baby, baby, babe 

Precious sweetness 
You're looking so good 
Keep thinking bout the times I wished that you 
Share a special night 
You and me baby 
Now listen up, listen up 
Ideal won't you sing it for me 

Repeat 1 
Repeat 1 

It's all about you 
It's all about us 

",All About You
Ideal,"
 

[Intro] 
Whatchu want to do 
Whatchu trying to say 
Do you want to play? 
Do you want to go? 
Whatchu want to do 
Whatchu trying to say 
Do you want to play? 
Do you want to play with me? 

Oh  baby take your time 
'cause I know you got somebody baby 
And I know you want me so 
So later  meet me here at 10:00 
But I can't call you on the phone 
'cause you got someone at home 
So hit me on my cell  275 4321 

1   I know that you want to be with me 
Tonight, break your plans with your man 
'cause you been thinking about me all day long 
Baby, break your plans with your man 

Oh baby, understand 
I'm ready if you're willing 
(I'm ready to get down) 
To take a chance 
'cause if he finds out 
He might not like it 
So keep it on the down low 
Don't tell nobody, oh no 
What goes on between us 
Stays between us 
Some might say that it's cheating 
But all I'm doin' is creepin' 
'cause all I know is I got you feinin', feinin' 

Repeat 1 

I know you want me 
Let's get busy 
Tonight, lady break your plans with your man 

Do you want to play? 
(Do you want to play baby?) 
(Do you want to play?) 
I know, I know, I know, I know 

Repeat 1 
Repeat 1 
Repeat 1 
Repeat 1 

",Break Your Plans
