Band,Lyrics,Song
Ratt,"Bombs away
Down in the city
Somewhere
You're a cruel survivor
A little bit goes a long way
So they say

You always want what you can't have

Like love
I'm the one
Well don't you bite the hand that feeds you
If you want
What I got
Well don't you bite the hand that feeds you

Stealin' hearts
And all your cheap talk
Like Hell
I wouldn't put it past you
But sooner or later you'll pay
That's okay

You always want what you can't get

Like love
It ain't funny
Well don't you bite the hand that feeds you
You want money
I'll tell you honey
Well don't you bite the hand that feeds you

I'm a man with a strange appetite
And I'll be takin' you home tonight
If you can take the bed out of my head
But you can't take away the fun
So many times I still wonder why
You tried to keep me in line, yeah

You can take the bed out of my head
But you can't take away the fun

Cause that's love
I'm the one
Don't you bite the hand that feeds you
If you want, baby
What I've got
Well don't you bite the hand that feeds you

If you want (You want)
What I got (I got)
Well don't you bite the hand that feeds you
Like love (Like love)
I'm the one (I'm the one)
Well don't you bite the hand that feeds you

Bite me
Oh yeah

Don't you bite the hand that feeds you",Don't Bite the Hand That Feeds
Ratt,"C'mon baby
C'mon baby
C'mon baby
C'mon baby

Yeah!

Don't want to talk about it
And I don't want to hear what's for sale
Just move on baby
Time has got you by the tail
Your tail

You don't know what you got till it's already gone
And now this gone as you can get
I try to reason with you but there's no reason at all
While I'm banging my head up against a brick wall

I want a woman
Not some little girl
Who had to grow up
In daddy's big world
I want a woman
Who can really love me, yeah
Dead ringer of a woman

You think I'm like a truck
Even I ain't gonna walk on glass
Well no chance
I try to love ya baby
But sometimes you're just a pain in the ass

The problem with you is that I can't get through
And all this proves is I can get
I take you up north and then you want to go south
You're just leaving another bad taste in my mouth

I want a woman
Not some little girl
Who had to grow up
In daddy's big world
I want a woman
Who knows how to love me, yeah
Baby that's what I want

I want a woman
Not the teacher's pet
Who tried to grow up
But hasn't made it quite yet
I want a woman
Who makes me feel like nobody can

I want those legs
Groovy lips
(I want a woman)
With high heels
Shake those hips
(I want a woman)
Red dress
What a scene
(I want a woman)
C'mon baby
You'll be my wildest dreams, yeah!
(I want a woman)

I'm thinkin' now down the week so much
Think the chances that that woman's touch

I want a woman
Not some little girl
Who had to grow up
In daddy's big world
I want a woman
That knows how to love me, yeah
Baby that's what I want

I want a woman
Not the teacher's pet
Who tried to grow up
But hasn't made it quite yet
I want a woman
Who makes me feel like nobody can

I want those legs
Red dress
(I want a woman)
Groovy lips
Shake those hips
(I want a woman)
With high heels
C'mon baby
(I want a woman)
What a scene
You'll be my wildest dreams, yeah!
(I want a woman)",I Want a Woman
Ratt,"Trading places is that all you do
You leave no traces in the way you choose
You're always sayin' to me, ""Baby be true""

It's now or never
I'm torn forever

(Ah!)
I want to love you tonight
(Wanna love you, ah!)
Gonna make everything alright
(Yeah, yeah, yeah!)
I want to love you tonight, yeah, yeah, yeah
I want to love you
Tell me your trouble, right
I want to love you

You're makin' faces is that all that you do
You put every thrill you could steal
You're wakin' up when I am going to sleep
I'm makin' up for nothin' under my sleep

(Ah!)
I want to love you tonight
(Wanna love you, ah!)
Gonna make everything alright
(Yeah, yeah, yeah!)
(Ah!) I want to love you tonight, yeah, yeah, yeah
I want to love you

Oh!

I always thought of you
Here by my side
Never to leave on me
Don't stand on foolish pride
Love 'em and leave 'em fast
That's the way you pull me tight

It's now or never
I'm torn forever

(Ah!)
I want to love you tonight
(Wanna love you, ah!)
Gonna make everything alright
(Yeah, yeah, yeah!)
(Ah!) I want to love you tonight, yeah, yeah, yeah
I want to love you

Oh!

I want to love you

I want to love you",I Want to Love You Tonight
Ratt,"Why live your life with no surprise
Why live your life with no surprise
Why live your life with no surprise
Why live your life with no surprise

Hey!

Livin's easy when you think you've got control
Don't look too close, you'll find your silver isn't gold
Leave your problems behind you, take a hold
I'm gonna show you things you've never seen before

Why live your life with no surprise
I'll tell you something
(Tell you something)
Why waste your time, it's no surprise
You've got everything

You spoke the oldest crossing well over mine
You're running home cause I'm workin' late at night
And the way that you're move me, you make me want to scream
One in a million, you're right out of my dream

Why live your life with no surprise
There's only one thing
(Tell you one thing)
Why waste your time, it's no surprise
You've got everything

If they wanted your charms, you couldn't play their games
If they wanted your life, you couldn't push them away
After fighting for days, they couldn't beg you to stay
Now you're gonna live your own way

Why live your life with no surprise
I'll tell you something
(Tell you something)
Why waste your time, it's no surprise
You've got everything
(Everything)

Why live your life with no surprise
There's only one thing
(Tell you one thing)
Why waste your time, it's no surprise
You've got everything

Why live your life with no surprise
There's only one thing
(Tell you one thing)",No Surprise
Ratt,"Oh
Oh

New kid in town
Got fancy clothes
Old T-Bird car, baby
And you can tell your nose
He said, ""Where is all the action in this town?""

Stop working on the women
It's on real slick
Heard enough about sin, girl
Gonna make it stick
Hey! What makes him so special anyhow?

She said, ""So good lookin', that's a fact
Steel guitars run across his back""
The girls all know he's Way Cool Jr.

Check him out on his good side

Heard he came from Memphis
Somewhere down south
Started hangin' with the blues crowd
That's how he got that crazy sound
What is all this talkin' goin' round?

She said, ""So good lookin', turns me on""
Out all night, keeps me up 'til dawn""
The girls all know he's Way Cool Jr.

You know you can't have fire without the flame
Can't keep the fortune without the pain
That's how he makes it when he's on his own

Way Cool Jr.
You don't live it up or never live it down
Way Cool Jr.
He's the hottest thing to ever hit this town

Go man go

She said, ""So good lookin' and that's a fact
Steel guitar scratched off the back""
Everybody knows it's Way Cool Jr.

You know you can't have fire without the flame
Can't keep the fortune without the pain
That's how he makes it when he's on his own

Way Cool Jr.
Always comin' 'round the bend
Way Cool Jr.
He's gonna live it up or never live it down
Way Cool Jr.

Way Cool Jr.",Way Cool Jr.
Ratt,"If you had the feelin'
That I'd be back again
And I've been out there dealin'
I thought it'd never end

And you know what you're missin'
And I know what you want
Just take a look and listen
Don't keep me hangin' on

You know what I'm sayin'
There's no point in playin'
I'm after you

Can you hear me callin'?
Baby quit your stallin'
It's you

You're what I'm after
Gonna get to you anyway
You're what I'm after
And nothin's gonna turn me away

It's been a long time comin'
And now I can't pretend
Now you can stop your runnin'
From your long lost friend

And you know what I'm missin'
And you know what I want
Just take a look and listen
Don't keep me hangin' on

You know what I'm sayin'
There's no point in playin'
I'm really missin' you

Can you hear me callin'?
Baby quit your stallin'
It's you

You're what I'm after
I'm gonna get to you anyway
You're what I'm after, you
Every time I see your face
You're what I'm after
And nothin's gonna turn me away
You're what I'm after, you
And now I'm after you

Years go by
How time flies
And now I've got to reach you
Feels like it's never been before
Before

You're what I'm after
I ain't playin' no fun and games
You're what I'm after, you
And nothin's gonna turn me away
You're what I'm after
Every time I see your face
You're what I'm after, you
And now I'm after you

You're what I'm after
And now I'm after you
You're what I'm after
Hey girl, and I'm after you",What I'm After
Ratt,"Oh yeah!

My, my, my

The long nasty fingers
The sensation lingers
You make your love better than you make up your mind

My finger's been shakin' (Shakin')
It's my heart you're breakin'
The promise was we're empty and your blood runs cold

So tell me

What's it gonna be sweet Elena
Just cut to the straight, is it him or me?
What's it gonna be my Elena
Should I be waiting for the Heaven to fall?

I can feel the danger (Danger)
We're living like strangers
It's two different worlds
And maybe you can live in both

Are you sin or sinner (Sin or sinner)
Who'll keep me warm this winter?
I can tell something's wrong
You've fallen for another man

Is that true?

What's it gonna be sweet Elena
Just give it to me straight, is it him or me?
What's it gonna be my Elena
Should I be waiting for the Heaven to fall?

What's it gonna be sweet Elena
No matter what you say, it's gonna end up the same
What's it gonna be my Elena
Burnin' all your bridges, we'll put out the fire

I'm not Dutch

I missed the message but I sure got the point
That shook his nerves of steel
Should keep my distance but what can I say?
I find it hard to keep her pushin' away

I, I just got to know

What's it gonna be sweet Elena
Just give it to me straight, is it him or me?
What's it gonna be my Elena
Should I be waiting for the Heaven to fall?

What's it gonna be
What's it gonna be
Should I be waiting for the Heaven to fall?",What's It Gonna Be
Ratt,"Take it or leave it
It's a sign of the times
If there's something I can take 
I'm gonna make it mine
And if you think I'm kiddin' 
Baby don't you turn your back
I'll be comin' on you
Quicker than a heart attack
I've had to crawl, lie
I would've killed for a meal
I've had to beg, borrow, steal
I was beat, had to cheat 
Sold my ass on the street
But baby I'm back, on my feet

All or nothing, get outta my way
Give me what I want or get outta my face
I want it all or nothing, I want it today
Give me what I need or I'll blow you away

So if you see me on the street
You better look away
'Cause I'll spit right in your eye
And if you think I'm foolin' 
I got news for you
You'll be out there walkin' in dead man's shoes
I've been up, down
Kissin' the ground
I've had to climb my way to the top
I'm a lean, mean, fighting machine
I ain't ever goin' back to that fucked up scene

All or nothing, get outta my way
Give me what I want or get outta my face
I want it all or nothing, I want it today
Give me what I need or I'll blow you away

I want it all, all or nothing
I want it all, all or nothing
I want it all, all or nothing
I want it all, all or nothing

All or nothing, get outta my way
Give me what I want or get outta my face
I want it all or nothing, I want it today
Give me what I need or I'll blow you away

I want it all, all or nothing
I want it all, all or nothing
I want it all, all or nothing
I want it all, all or nothing
",All or Nothing
Ratt,"Can't wait on, I can't wait on
I can't wait on love

You got me shakin'
All night long
Body's achin'
The pains so strong
My hearts racin', show me a sign
Don't keep me waitin'
At the startin' line

Girl you wind me like a clock
I'm the key that fits your lock

Can't wait on, I can't wait on
 I can't wait on love
 Don't be long, I've got my heat on
 I can't wait on love

I'm so excited
I can't sleep 
Let me slide in
Way in deep

Girl you tie me in a knot
In your web of love I'm caught

Can't wait on, I can't wait on
 I can't wait on love
 Don't be long, I've got my heat on
 I can't wait on love

I'm a time bomb tickin' away
You lit my fuse now you gotta pay

Can't wait on, I can't wait on
 I can't wait on love
 Don't be long, I've got my heat on
 I can't wait on love
",Can't Wait on Love
Ratt,"You say you don't want me
You say you don't care
You say that your heart
Ain't got no room for me there
You say you don't need me
But I know that it's just a lie
'Cause when you call me in the night
Tellin' me your life is better off without me
How come you're sleepin' all alone
Tellin' me you don't ever think about me...

Hey, you're givin' yourself away
It's there in every move you make
You can't hide your heartache away
Hey, it's somethin' you don't have to say
It's written in the tears on your face
I see through the part that you play
Your givin' yourself away...
Your givin' yourself away...
It doesn't matter what you say
Your givin' yourself away...
Your givin' yourself away...

So you got all your freedom
And you got all your time
So you got the illusion that your doin' fine
So you smile in the mirror
Through the sadness your smile can't disguise
Why don't you come right out and say
Baby you can't take another day without me
You know I'm runnin' through your blood
You need me like a drug and you can't live without me...

Hey, you're givin' yourself away
It's there in every move you make
You can't hide your heartache away
Hey, it's somethin' you don't have to say
It's written in the tears on your face
I see through the part that you play
Your givin' yourself away...
Your givin' yourself away...
It doesn't matter what you say
Your givin' yourself away...
Your givin' yourself away...

And when you call me in the night
Tellin' me your life is better off without me
I know that you're lyin' there alone
Baby cause I know you can't live without me
",Givin' Yourself Away
